N,s,heuristic_min_usage_time,heuristic_optimization_time,gurobi_min_usage_time,gurobi_optimization_time,gurobi_model_build_time
1,1,32.0,0.0009558916091918946,32.0,0.010885167121887206,0.0033939123153686524
2,1,32.0,0.0009779691696166991,32.0,0.017205190658569337,0.004931187629699707
3,2,32.0,0.0011536359786987304,32.0,0.024736952781677247,0.0076914548873901365
4,2,32.0,0.0010994434356689452,32.0,0.028383350372314452,0.00912463665008545
5,3,32.0,0.0013019323348999023,32.0,0.03472514152526855,0.011318707466125488
6,3,32.0,0.001105332374572754,32.0,0.042705965042114255,0.014468812942504882
7,3,32.0,0.000954127311706543,32.0,0.04903106689453125,0.015055346488952636
8,3,32.0,0.0013377904891967774,32.0,0.093623685836792,0.016268157958984376
9,4,32.0,0.0016674041748046876,32.0,0.055505681037902835,0.019443511962890625
