Student 1 B,Student 1 U,Student 1 Y,Student 2 B,Student 2 U,Student 2 Y,Student 3 B,Student 3 U,Student 3 Y
46.25523267576155,1.0,1.0,73.50638004692479,1.0,0.0,77.81976563006177,1.0,0.0
67.33036354068071,1.0,0.0,58.83748507154987,1.0,1.0,70.26296032975279,1.0,0.0
52.33036354068071,1.0,1.0,76.50287809246794,1.0,0.0,62.70615502944381,1.0,0.0
73.40549440559987,1.0,0.0,61.83398311709302,1.0,1.0,55.14934972913484,1.0,0.0
58.40549440559987,1.0,0.0,79.49937613801109,1.0,0.0,47.59254442882587,1.0,1.0
43.40549440559987,1.0,1.0,64.83048116263618,1.0,0.0,66.70438938909021,1.0,0.0
64.48062527051903,1.0,0.0,50.16158618726126,1.0,1.0,59.14758408878124,1.0,0.0
49.48062527051903,1.0,1.0,67.82697920817932,1.0,0.0,51.590778788472264,1.0,0.0
70.55575613543819,1.0,0.0,53.158084232804406,1.0,0.0,44.03397348816329,1.0,1.0
55.55575613543819,1.0,0.0,38.48918925742949,1.0,1.0,63.14581844842764,1.0,0.0
40.55575613543819,1.0,1.0,56.154582278347554,1.0,0.0,55.58901314811867,1.0,0.0
61.63088700035735,1.0,0.0,41.485687302972636,1.0,1.0,48.032207847809694,1.0,0.0
46.63088700035735,1.0,1.0,59.1510803238907,1.0,0.0,40.47540254750072,1.0,0.0
67.70601786527651,1.0,0.0,44.482185348515785,1.0,0.0,32.91859724719175,1.0,1.0
52.70601786527651,1.0,0.0,29.813290373140866,1.0,1.0,52.03044220745609,1.0,0.0
37.70601786527651,1.0,1.0,47.47868339405892,1.0,0.0,44.47363690714712,1.0,0.0
