Number of Students,s,Execution Times,,,,,,,,,,,Average Execution Times
42,15,0.010971546,0.009971857,0.010971546,0.0109725,0.009973049,0.009973049,0.009977102,0.00996995,0.009971142,0.009975195,0.010272694,0.010272694
43,16,0.00897646,0.012964487,0.053855181,0.020946503,0.010970592,0.011965275,0.01097393,0.009959698,0.01096797,0.008976221,0.016055632,0.016055632
44,16,0.009973288,0.011967897,0.008976221,0.009974718,0.008977652,0.009974003,0.010970354,0.008976698,0.010970354,0.009972334,0.010073352,0.010073352
45,16,0.00897646,0.010970831,0.008975029,0.010972023,0.009970665,0.009973526,0.010981321,0.010962009,0.008975506,0.010519028,0.01012764,0.01012764
46,17,0.009971857,0.010976791,0.010927916,0.010969877,0.00997591,0.010968924,0.010970592,0.00997138,0.010971069,0.010971546,0.010667586,0.010667586
47,17,0.00997138,0.011970282,0.010968447,0.008978128,0.009974003,0.010985136,0.009997129,0.011968136,0.010971308,0.008975983,0.010475993,0.010475993
48,17,0.010975838,0.01196146,0.010396957,0.010029554,0.010975838,0.010647774,0.010970354,0.009973049,0.01096797,0.010968924,0.010786772,0.010786772
49,17,0.010970831,0.00996542,0.011968613,0.01098299,0.009960651,0.010970116,0.010972738,0.010970116,0.010967731,0.010974646,0.010870385,0.010870385
50,18,0.010985613,0.010954142,0.011967421,0.010973692,0.009973764,0.011967659,0.011966467,0.010971069,0.01197052,0.012671471,0.011440182,0.011440182
51,18,0.011977434,0.010961056,0.011969566,0.011982203,0.009972811,0.0109725,0.010970831,0.009972095,0.011481047,0.011967421,0.011222696,0.011222696
52,19,0.011967897,0.012966633,0.011967421,0.011968374,0.012965679,0.011968374,0.010970592,0.011967182,0.010968208,0.011970997,0.011968136,0.011968136
53,19,0.009973764,0.011965513,0.054368258,0.016955137,0.015957832,0.014214754,0.01196599,0.010970116,0.011965036,0.0109694,0.01693058,0.01693058
54,19,0.011970043,0.011968851,0.011967182,0.011966467,0.011968136,0.010969162,0.0109725,0.011967659,0.010969162,0.010971546,0.011569071,0.011569071
55,19,0.011967182,0.011967182,0.011962414,0.011967659,0.011967421,0.012973547,0.010970354,0.010968924,0.012968063,0.011969566,0.011968231,0.011968231
56,20,0.012964487,0.012964964,0.01196909,0.011968613,0.010970354,0.012965679,0.011971712,0.012961864,0.014960766,0.013961792,0.012765932,0.012765932
57,20,0.012965918,0.011968851,0.011926889,0.011966944,0.012964487,0.012978554,0.011954784,0.012965202,0.01196599,0.011973381,0.0123631,0.0123631
58,21,0.012965202,0.01196599,0.011955976,0.012965679,0.011968613,0.011985302,0.010972023,0.011968613,0.012963772,0.012965918,0.012267709,0.012267709
59,21,0.01196909,0.011966944,0.011985779,0.012947559,0.011967421,0.012962818,0.011968374,0.012966156,0.013961077,0.011532307,0.012422752,0.012422752
60,21,0.013962746,0.012964725,0.012966633,0.012963533,0.015063286,0.013969421,0.012966394,0.013962746,0.013963461,0.011965036,0.013474798,0.013474798
61,21,0.012965202,0.013962269,0.012966156,0.012964725,0.012963533,0.011966467,0.011969566,0.01196456,0.013963938,0.012966394,0.012865281,0.012865281
62,22,0.01296711,0.01295352,0.013964891,0.013962507,0.013961792,0.013962269,0.012971878,0.012498856,0.012966394,0.05385685,0.017406607,0.017406607
63,22,0.021936893,0.015000582,0.013971329,0.010970354,0.013962984,0.012965679,0.012966633,0.013965845,0.01210022,0.011969566,0.013981009,0.013981009
64,23,0.014069796,0.012963057,0.013962746,0.011971712,0.012927294,0.013961554,0.013964415,0.012964725,0.012968779,0.012961864,0.013271594,0.013271594
65,23,0.012962341,0.013963223,0.013961554,0.013963223,0.013970852,0.012956858,0.013962746,0.012966156,0.012964964,0.01296401,0.013463593,0.013463593
66,24,0.012959957,0.013963223,0.013963699,0.012965679,0.01396203,0.014030218,0.012960672,0.012965441,0.012965918,0.013962269,0.013469911,0.013469911
67,24,0.013962269,0.012964725,0.012965202,0.012963772,0.013961554,0.012966871,0.012965918,0.013963699,0.011960506,0.012965441,0.013163996,0.013163996
68,24,0.013962984,0.013963223,0.013963223,0.012964487,0.013957739,0.013960838,0.01495862,0.013964891,0.013961792,0.013962746,0.013962054,0.013962054
69,25,0.013967991,0.01295042,0.014962196,0.01595664,0.014959097,0.012965441,0.014961481,0.013962746,0.012936831,0.012953758,0.01405766,0.01405766
70,25,0.012967348,0.012964487,0.012966633,0.01297307,0.012950897,0.013961077,0.012966871,0.013963461,0.013960123,0.012966633,0.01326406,0.01326406
71,25,0.014953375,0.01495719,0.014961243,0.013963223,0.01453948,0.014960527,0.014960051,0.012969255,0.013953209,0.014960766,0.014517832,0.014517832
72,25,0.013997793,0.014930248,0.014958382,0.013962746,0.013962507,0.014961481,0.013963699,0.014959812,0.012838364,0.014960051,0.014349508,0.014349508
73,26,0.015959501,0.014957905,0.014960051,0.013963938,0.01495862,0.015960455,0.013960361,0.012910843,0.014960289,0.012965918,0.014555788,0.014555788
74,26,0.053855658,0.025931597,0.01595521,0.014960289,0.015957117,0.014958143,0.01496172,0.013965368,0.01495409,0.014960051,0.020045924,0.020045924
75,26,0.014541626,0.014960289,0.013962269,0.013916492,0.014959812,0.016954899,0.015958309,0.01396203,0.012964964,0.014959574,0.014714026,0.014714026
76,27,0.014961004,0.014959097,0.01495862,0.014961004,0.015957832,0.01695323,0.01595974,0.01595664,0.015958548,0.016954184,0.01575799,0.01575799
77,27,0.016954899,0.016955853,0.015957832,0.015958548,0.014960289,0.015957832,0.015957594,0.01595664,0.014965773,0.015958548,0.015958381,0.015958381
78,28,0.015933037,0.014959812,0.014960527,0.014960051,0.014960051,0.014960051,0.015957355,0.014959812,0.016955376,0.014961004,0.015356708,0.015356708
79,28,0.015957594,0.015958309,0.016954899,0.015957594,0.015958071,0.015955925,0.015473843,0.014959335,0.014992237,0.012931347,0.015509915,0.015509915
80,28,0.015957594,0.014959574,0.015957832,0.013962269,0.014978409,0.014941931,0.014960766,0.014960766,0.017954111,0.01598835,0.01546216,0.01546216
81,29,0.015958548,0.017585039,0.016954422,0.015958786,0.01595664,0.016954899,0.015956879,0.01619792,0.057847738,0.024933577,0.021430445,0.021430445
82,29,0.016955614,0.015958071,0.014960051,0.015958071,0.016954899,0.014962435,0.015573978,0.015958548,0.014961958,0.015964508,0.015820813,0.015820813
83,30,0.015954256,0.016957045,0.015954971,0.015956879,0.01595664,0.015962601,0.016954422,0.016956329,0.017950296,0.016952753,0.016555619,0.016555619
84,30,0.016956806,0.016955137,0.015954733,0.016957045,0.015954971,0.014933348,0.014960289,0.016956806,0.017951965,0.016952038,0.016453314,0.016453314
85,30,0.015958786,0.015958071,0.016954422,0.015954018,0.016955614,0.015958548,0.016960621,0.016949177,0.015956879,0.013961077,0.016156721,0.016156721
86,30,0.015958309,0.01595664,0.015957832,0.015954971,0.015955448,0.015956879,0.015956879,0.015958071,0.015961409,0.015959978,0.015957642,0.015957642
87,30,0.016954422,0.016954184,0.015933275,0.017949581,0.018950224,0.016955376,0.015958309,0.015957355,0.016955376,0.015958071,0.016852617,0.016852617
88,31,0.017951488,0.015998602,0.016953945,0.016955376,0.018023252,0.016947508,0.01595664,0.016462803,0.015957355,0.015958786,0.016716576,0.016716576
89,31,0.015955925,0.014961243,0.015957594,0.014959335,0.015957117,0.015958548,0.015956402,0.017952681,0.019947052,0.01685977,0.016446567,0.016446567
90,31,0.017953873,0.017916918,0.017953157,0.017948866,0.015960455,0.016952038,0.05684638,0.02497673,0.018949747,0.016951561,0.022240973,0.022240973
91,31,0.015957594,0.015956879,0.015959263,0.017536879,0.017952919,0.017949343,0.017959833,0.017944098,0.016956806,0.016462564,0.017063618,0.017063618
92,32,0.016955137,0.015957594,0.015956879,0.016952991,0.017953634,0.01695323,0.015958786,0.015958071,0.015956402,0.01695323,0.016555595,0.016555595
93,32,0.018951178,0.017953396,0.015958071,0.01695323,0.016955853,0.015954733,0.014958143,0.015956163,0.015957117,0.016956329,0.016655421,0.016655421
94,32,0.016953468,0.017952442,0.016954422,0.016957045,0.017948389,0.01695466,0.017957449,0.017952204,0.017952204,0.017949581,0.017553186,0.017553186
95,33,0.017953157,0.017952442,0.016954422,0.016958475,0.01894784,0.018946409,0.01795435,0.018947363,0.017951727,0.01695323,0.017951941,0.017951941
96,33,0.019952297,0.017945528,0.016993761,0.016958237,0.016952753,0.016956091,0.017951727,0.015958309,0.016954422,0.016956568,0.017357969,0.017357969
97,33,0.016952515,0.01695323,0.017953396,0.016955614,0.016736746,0.015955687,0.01695323,0.017953634,0.01695323,0.016943455,0.017031074,0.017031074
98,34,0.019949198,0.017950058,0.017952919,0.017951965,0.017954826,0.016956091,0.016955853,0.017952442,0.01695466,0.01595664,0.017653465,0.017653465
99,34,0.01595521,0.017960072,0.016954184,0.016956091,0.017921686,0.017951965,0.017951488,0.017950058,0.017952681,0.01795125,0.017550468,0.017550468
100,34,0.015957594,0.018949509,0.01894784,0.019949198,0.020942688,0.018949747,0.018949509,0.01894927,0.017952681,0.018953323,0.018850136,0.018850136
100,34,0.017948389,0.017953157,0.017936468,0.017929316,0.01894784,0.020941257,0.019944668,0.018947124,0.01795435,0.018948793,0.018745136,0.018745136
110,37,0.019950628,0.019946337,0.019946814,0.018949986,0.019944668,0.020945787,0.018947363,0.018947601,0.018948555,0.019945145,0.019647288,0.019647288
120,41,0.020942688,0.019946814,0.019947052,0.022520781,0.021942377,0.020945549,0.020942926,0.019949436,0.019918203,0.01994586,0.020700169,0.020700169
130,45,0.021942139,0.022938251,0.020943403,0.020944834,0.02094388,0.021940947,0.02293992,0.021943808,0.022936821,0.021941423,0.021941543,0.021941543
140,48,0.02389884,0.023938656,0.024934769,0.024935246,0.023933172,0.0249331,0.024928093,0.023932457,0.021907806,0.022937298,0.024027944,0.024027944
150,51,0.024941921,0.02492547,0.025930882,0.024933815,0.024932623,0.025931835,0.025931597,0.025905132,0.026986361,0.026910067,0.02573297,0.02573297
160,54,0.02692771,0.026928425,0.026454926,0.028924942,0.025931835,0.024933577,0.023936033,0.024934769,0.024934292,0.024932623,0.025883913,0.025883913
170,58,0.02990818,0.030917645,0.029921293,0.028923273,0.025927544,0.024935961,0.025930166,0.027926445,0.02992177,0.030918837,0.028523111,0.028523111
180,61,0.029920101,0.030915976,0.028922081,0.029920816,0.030917168,0.028922081,0.026941061,0.027924299,0.027925491,0.026928902,0.028923798,0.028923798
190,65,0.031915903,0.029923439,0.028922319,0.028918982,0.029919863,0.028923035,0.028921366,0.032873392,0.028895617,0.027925968,0.029713988,0.029713988
200,68,0.033912182,0.073764801,0.042884588,0.031502724,0.031917572,0.034907341,0.034955502,0.030936956,0.029919624,0.032488346,0.037718964,0.037718964
210,71,0.03091073,0.030915976,0.031913042,0.032917976,0.035904646,0.042397261,0.036902666,0.035902262,0.035452366,0.03291297,0.034612989,0.034612989
220,75,0.03695631,0.038893938,0.036874294,0.03391099,0.032887459,0.034874916,0.032909632,0.034912825,0.034896851,0.034906387,0.03520236,0.03520236
230,79,0.035943985,0.03690052,0.036867142,0.03746295,0.037899971,0.037856579,0.038897514,0.037900209,0.033884525,0.033898592,0.036751199,0.036751199
240,81,0.035903454,0.036901951,0.037899494,0.035903692,0.032994986,0.035901546,0.038896322,0.03789711,0.034904718,0.035902977,0.036310625,0.036310625
250,84,0.039865255,0.040890217,0.03590703,0.036906958,0.0378685,0.037874699,0.037380934,0.038892746,0.036874533,0.038893938,0.038135481,0.038135481
260,87,0.038894415,0.036902666,0.040923357,0.039868355,0.03690052,0.03889513,0.037897825,0.037872076,0.041888237,0.040888786,0.039093137,0.039093137
270,91,0.041886091,0.040889263,0.048923492,0.044881105,0.04088974,0.046868563,0.042886257,0.044879675,0.050573587,0.04638958,0.044906735,0.044906735
280,94,0.047026873,0.045841932,0.04388237,0.083775043,0.054853201,0.044878721,0.045879602,0.043396711,0.046873808,0.044362068,0.050077033,0.050077033
290,98,0.045398712,0.045876265,0.047873974,0.046872854,0.04388237,0.045877695,0.044879198,0.046841145,0.041880131,0.046875238,0.045625758,0.045625758
300,100,0.044703722,0.045879602,0.046875,0.043883085,0.044879198,0.048843384,0.04886961,0.046887875,0.046872139,0.049829483,0.04675231,0.04675231
310,105,0.044879913,0.049865961,0.048845768,0.049867153,0.051861286,0.044880152,0.043883324,0.043877125,0.045875549,0.044880152,0.046871638,0.046871638
320,108,0.043883085,0.04487896,0.046874762,0.049867153,0.047872305,0.048986673,0.049864769,0.049833298,0.045909643,0.045919895,0.047389054,0.047389054
330,111,0.048839569,0.054853678,0.050840139,0.050865412,0.050982952,0.049838781,0.052889585,0.053833961,0.052856922,0.053852558,0.051965356,0.051965356
340,115,0.051862478,0.054909229,0.052858114,0.048871756,0.05585146,0.060834885,0.055850267,0.055850744,0.05784297,0.097249746,0.059198165,0.059198165
350,118,0.05585146,0.060809851,0.051861048,0.054853439,0.051861286,0.052595377,0.05385685,0.055437803,0.060836792,0.056856871,0.055482078,0.055482078
360,122,0.058842182,0.055850744,0.056302071,0.059834957,0.058841705,0.054852962,0.049918175,0.053857803,0.053855896,0.051861048,0.055401754,0.055401754
370,126,0.056845188,0.060322046,0.053820372,0.053825617,0.057817221,0.054856777,0.056820631,0.058354855,0.055825949,0.05781126,0.056629992,0.056629992
380,129,0.057820797,0.055826426,0.056849957,0.057844639,0.058843374,0.055826664,0.059812784,0.053853989,0.052835464,0.055851221,0.056536531,0.056536531
390,132,0.056822062,0.058286428,0.054851532,0.05642271,0.061834574,0.061799049,0.059875727,0.056819677,0.063828945,0.060838699,0.05913794,0.05913794
400,135,0.058845043,0.059815884,0.062806129,0.055822372,0.058845282,0.059841871,0.059813738,0.063868999,0.059811592,0.058844805,0.059831572,0.059831572
410,139,0.064827919,0.057846069,0.057846785,0.056820393,0.062833071,0.058843374,0.06181097,0.059841156,0.058812857,0.0608356,0.060031819,0.060031819
420,141,0.069815159,0.061832905,0.063799858,0.058817863,0.05884409,0.064893246,0.065788507,0.060811281,0.061809778,0.062796593,0.062920928,0.062920928
430,144,0.065824747,0.063976526,0.061806202,0.060075998,0.065139532,0.070783854,0.061806917,0.065896273,0.063829899,0.059839487,0.063897943,0.063897943
440,148,0.069398403,0.071000814,0.068792105,0.06582284,0.067817688,0.072804213,0.065825701,0.07277298,0.071807623,0.065824032,0.06918664,0.06918664
450,151,0.07380271,0.067956209,0.070812702,0.07280612,0.069811583,0.070809126,0.07081008,0.069809198,0.070809841,0.07339859,0.071082616,0.071082616
460,154,0.075795889,0.073802948,0.083418608,0.076795578,0.070811987,0.074097157,0.073802233,0.078785419,0.070742607,0.068816662,0.074686909,0.074686909
470,157,0.081457376,0.078794718,0.069778442,0.072808981,0.067819595,0.075801611,0.075798273,0.117838144,0.073768616,0.072806597,0.078667235,0.078667235
480,160,0.075797796,0.074390888,0.069813728,0.068397522,0.072859526,0.075798988,0.074772596,0.072804689,0.073877811,0.074798584,0.073331213,0.073331213
490,164,0.087249041,0.076797247,0.075794935,0.075798512,0.082778215,0.080780506,0.078930378,0.075796843,0.068816423,0.07380414,0.077654624,0.077654624
500,168,0.079788208,0.07380271,0.0688169,0.074801683,0.078791142,0.079787493,0.075390339,0.072806835,0.078790665,0.083776236,0.076655221,0.076655221
510,171,0.087764978,0.078788757,0.075853586,0.079354525,0.079377651,0.071808815,0.082288265,0.085769892,0.084773779,0.083856344,0.080963659,0.080963659
520,174,0.080752134,0.074361563,0.082220793,0.082013845,0.08128953,0.141136169,0.083775759,0.083775759,0.078310013,0.080783367,0.086841893,0.086841893
530,177,0.081568718,0.077310562,0.074502945,0.080262423,0.083012342,0.074798346,0.097739458,0.08788991,0.0827775,0.09175396,0.083161616,0.083161616
540,180,0.098253489,0.100730181,0.094747543,0.111700773,0.094744205,0.092753649,0.087729692,0.089759827,0.075795889,0.081781387,0.092799664,0.092799664
550,183,0.086767912,0.087765932,0.077792168,0.083777428,0.082780123,0.087735176,0.080866337,0.081782103,0.077083111,0.084743023,0.083109331,0.083109331
560,187,0.078835726,0.088734627,0.082820415,0.080784082,0.084367752,0.07979393,0.087765217,0.091755152,0.08976078,0.081781864,0.084639955,0.084639955
570,190,0.082927942,0.079786777,0.08676815,0.087766409,0.088763237,0.073803425,0.086767912,0.085769892,0.081249714,0.085358143,0.08389616,0.08389616
580,194,0.108711243,0.099731684,0.097738266,0.106162071,0.098317385,0.093259811,0.093749285,0.100728512,0.093832254,0.100727558,0.099295807,0.099295807
590,197,0.108217478,0.107712746,0.109704733,0.104720116,0.103724718,0.1047225,0.109679461,0.098737478,0.11369729,0.109721422,0.107063794,0.107063794
600,200,0.139636993,0.105223894,0.118194103,0.102722645,0.111701012,0.184506178,0.112159967,0.11170125,0.106716394,0.113696814,0.120625925,0.120625925
610,204,0.106862545,0.106225729,0.116777897,0.103116512,0.110926151,0.104727507,0.102942467,0.103416204,0.094738007,0.098735809,0.104846883,0.104846883
620,207,0.091755152,0.089759827,0.089800119,0.090849161,0.089751244,0.086804152,0.090758801,0.092751026,0.087306976,0.086811066,0.089634752,0.089634752
630,211,0.092751026,0.09674263,0.094748259,0.092578411,0.093750477,0.091754913,0.098736286,0.094295979,0.095809698,0.093340635,0.094450831,0.094450831
640,214,0.102914572,0.14059782,0.146606922,0.206934452,0.142617941,0.141618252,0.107714891,0.10667634,0.132012367,0.125668764,0.135336232,0.135336232
650,217,0.118683338,0.121656656,0.117685556,0.114933252,0.144126892,0.127771616,0.135638237,0.138144493,0.121676207,0.130653143,0.127096939,0.127096939
660,222,0.112243652,0.123360634,0.111701727,0.11469388,0.113737583,0.112263203,0.122184515,0.118684292,0.18849349,0.123719931,0.124108291,0.124108291
670,226,0.125255108,0.127142668,0.129611015,0.125631571,0.127634048,0.140622377,0.205450296,0.127659082,0.116202593,0.463935137,0.16891439,0.16891439
680,229,0.12267518,0.19447732,0.124635696,0.119676113,0.12167263,0.1132586,0.125238657,0.138654232,0.115692854,0.113081455,0.128906274,0.128906274
690,231,0.12562871,0.126663446,0.126488209,0.129693508,0.148120642,0.123668909,0.122668266,0.113816977,0.127624512,0.251138687,0.139551187,0.139551187
700,234,0.148602962,0.157578468,0.149593353,0.144613028,0.47365427,0.293397188,0.154586792,0.163558006,0.14487195,0.127167463,0.195762348,0.195762348
710,238,0.131197453,0.131726503,0.138000488,0.130636215,0.129669189,0.122671366,0.135160446,0.135153294,0.132611752,0.127659082,0.131448579,0.131448579
720,241,0.136633396,0.13962388,0.135647535,0.126636267,0.140619993,0.133642197,0.140623331,0.148187399,0.140668154,0.147972345,0.13902545,0.13902545
730,244,0.129874945,0.138631821,0.124669313,0.13061285,0.145610332,0.121642351,0.133247375,0.132682323,0.129653215,0.12866354,0.131528807,0.131528807
740,248,0.124665737,0.130651236,0.13962841,0.139665604,0.137711048,0.154103756,0.122404814,0.142648697,0.138627291,0.150556087,0.138066268,0.138066268
750,252,0.147199392,0.136101723,0.154064178,0.299716234,0.296206474,0.240846634,0.143614531,0.136124611,0.133113861,0.126172543,0.181316018,0.181316018
760,255,0.124667883,0.137677908,0.147600889,0.135611773,0.124662876,0.110704899,0.120677948,0.130583048,0.130629063,0.148605585,0.131142187,0.131142187
770,258,0.292267323,0.219416857,0.171542883,0.170781136,0.298761845,0.372489452,0.354057074,0.156582355,0.151107073,0.140625477,0.232763147,0.232763147
780,261,0.298214674,0.17778635,0.154144049,0.135103226,0.163685083,0.139622211,0.138036489,0.136143208,0.15062356,0.147615433,0.164097428,0.164097428
790,264,0.163525343,0.161119699,0.153588772,0.152601242,0.148113012,0.142619371,0.306182146,0.301194429,0.148606777,0.13760829,0.181515908,0.181515908
800,268,0.128657818,0.137596846,0.142900229,0.148576498,0.144614458,0.13568449,0.136066914,0.130651236,0.135629892,0.143618584,0.138399696,0.138399696
810,270,0.172945261,0.15358901,0.144608974,0.137634516,0.142368317,0.133733273,0.135140657,0.133009195,0.141611099,0.129924059,0.142456436,0.142456436
820,273,0.145610571,0.134640694,0.129174709,0.14262104,0.137615681,0.122130394,0.137633085,0.136776447,0.135638952,0.134641171,0.135648274,0.135648274
830,277,0.133644342,0.130650759,0.13561368,0.135643244,0.142696142,0.127660275,0.137648582,0.139799356,0.139238596,0.12863183,0.135122681,0.135122681
840,280,0.125638962,0.133781672,0.142232418,0.133639812,0.151591778,0.131690502,0.134756565,0.132349253,0.122232199,0.125665188,0.133357835,0.133357835
850,283,0.132612467,0.128658533,0.140598297,0.129653692,0.131647348,0.127869368,0.131649971,0.118683577,0.136231899,0.127140522,0.130474567,0.130474567
860,287,0.132643223,0.146664381,0.12367034,0.130779743,0.148593903,0.144615173,0.137160063,0.134603977,0.121674061,0.129650116,0.135005498,0.135005498
870,291,0.156582594,0.132153749,0.139682055,0.138628244,0.130651712,0.140305519,0.140053511,0.139625549,0.135636568,0.133644581,0.138696408,0.138696408
880,294,0.141623497,0.138660669,0.136687756,0.141111374,0.153588295,0.143782139,0.134142876,0.128656626,0.145903349,0.140624285,0.140478086,0.140478087
890,298,0.133150578,0.136634111,0.142517805,0.132119894,0.133695364,0.144691229,0.143617392,0.146128654,0.142595768,0.136633873,0.139178467,0.139178467
900,301,0.149599075,0.145493984,0.134619951,0.142234564,0.150749683,0.13312006,0.144179583,0.184504747,0.141592503,0.14059782,0.146669197,0.146669197
910,304,0.141230822,0.134639978,0.143617392,0.133152246,0.138206959,0.138631344,0.146610737,0.152591944,0.144612312,0.133889675,0.140718341,0.140718341
920,307,0.141129494,0.142129898,0.158017635,0.156554222,0.142810345,0.1426332,0.140206099,0.149765253,0.155121803,0.144614458,0.147298241,0.147298241
