Number of Students,s,Execution Times,,,,,,,,,,,Average Execution Times
930,310,0.170500994,0.156152725,0.147605419,0.154666662,0.165142775,0.155601263,0.16456008,0.17250371,0.378971815,0.302767992,0.196847343,0.196847343
940,313,0.546055555,0.211015463,0.189493179,0.185654163,0.181521177,0.249634981,0.190175772,0.203549385,0.192000389,0.180516243,0.232961631,0.232961631
950,316,0.229192257,0.190487862,0.172564983,0.166607857,0.166517496,0.170978546,0.197080851,0.200558424,0.186509132,0.173537493,0.18540349,0.18540349
960,318,0.199987411,0.303309202,0.424877644,0.195402145,0.171540499,0.16355896,0.173248529,0.174493551,0.183656454,0.179554462,0.216962886,0.216962886
970,323,0.160570621,0.168513298,0.15591073,0.16258049,0.175530672,0.172533751,0.169545412,0.166555643,0.18002677,0.194521189,0.170628858,0.170628858
980,325,0.191488028,0.193484306,0.189493179,0.209411383,0.205456734,0.403854847,0.261060238,0.295049429,0.226285219,0.213456631,0.238903999,0.238903999
990,329,0.193099022,0.461984634,0.233174562,0.183826923,0.199069738,0.181474924,0.167098045,0.177039862,0.179009438,0.210402012,0.218617916,0.218617916
1000,332,0.190534115,0.1825068,0.179542303,0.180569649,0.176523447,0.18259716,0.191500425,0.171538353,0.174536705,0.176570415,0.180641937,0.180641937
1000,332,0.170542479,0.180583,0.183932066,0.203449965,0.175532579,0.191486597,0.17650342,0.172536612,0.176526785,0.174622059,0.180571556,0.180571556
1100,366,0.197465897,0.200483322,0.213858604,0.199468613,0.201445103,0.225475788,0.18749094,0.208442211,0.183498383,0.20146203,0.201909089,0.201909089
1200,402,0.172538519,0.19547987,0.182513475,0.17760396,0.204273462,0.196476698,0.192485094,0.172538042,0.201604366,0.199470758,0.189498425,0.189498424
1300,435,0.209968805,0.192486763,0.203419685,0.200465202,0.2483356,0.179663181,0.195478678,0.177387476,0.198469877,0.204097509,0.200977278,0.200977278
1400,467,0.222372055,0.201462984,0.196187019,0.226394415,0.197683334,0.200363159,0.236369371,0.203454733,0.20644331,0.204452515,0.20951829,0.20951829
1500,499,0.24196434,0.20199585,0.210018873,0.209902763,0.239031553,0.224018335,0.222092867,0.21592927,0.224878311,0.202103138,0.21919353,0.21919353
1600,533,0.256269455,0.25406003,0.233794451,0.244346142,0.217418909,0.22157073,0.229388714,0.217420816,0.233388662,0.228381395,0.23360393,0.23360393
1700,566,0.268417597,0.234879255,0.25940609,0.25288558,0.263293505,0.227396727,0.256261826,0.231346607,0.25144577,0.234413862,0.247974682,0.247974682
1800,595,0.283512115,0.283951044,0.28107214,0.243000031,0.266289234,0.27726078,0.246342421,0.238361835,0.250330687,0.274266243,0.264438653,0.264438653
1900,628,0.274302244,0.288229227,0.280248642,0.250328302,0.257311821,0.264919996,0.262725115,0.259015799,0.268239975,0.255011797,0.266033292,0.266033292
2000,662,0.264258623,0.295967579,0.26617837,0.280048847,0.271269321,0.263456583,0.301799774,0.291734457,0.267285109,0.298700809,0.280069947,0.280069947
2100,695,0.303481579,0.278255939,0.279227018,0.314161301,0.270367146,0.287643194,0.305173159,0.28224659,0.278139353,0.340473175,0.293916845,0.293916845
2200,727,0.306881189,0.316987038,0.320195675,0.33070159,0.294214487,0.298165798,0.31017065,0.317153215,0.323134422,0.309134722,0.312673879,0.312673879
2300,760,0.331728697,0.311401367,0.29486084,0.329121113,0.334108114,0.297169447,0.328850031,0.300292253,0.332277775,0.327090263,0.31868999,0.31868999
2400,795,0.320156097,0.332114935,0.39494729,0.3659935,0.349068165,0.327207088,0.354822874,0.350063801,0.351028204,0.337258816,0.348266077,0.348266077
2500,828,0.339092493,0.419979095,0.386152267,0.33310914,0.340051651,0.338522434,0.365029812,0.377027512,0.368609667,0.373753071,0.364132714,0.364132714
2600,861,0.334943533,0.362645388,0.363031864,0.346075058,0.376951933,0.339082718,0.379042149,0.359555006,0.355048895,0.371008158,0.35873847,0.35873847
2700,892,0.347214222,0.387083054,0.382947445,0.359036922,0.377962112,0.573472261,0.420444965,0.397680521,0.376804113,0.38290453,0.400555015,0.400555015
2800,925,0.437802553,0.42088294,0.444811344,0.439983606,0.43218708,0.479155779,0.436575174,0.434427261,0.412860155,0.40478611,0.4343472,0.4343472
2900,957,0.435832977,0.38095212,0.426860094,0.383122921,0.408521175,0.411401749,0.429006577,0.4234972,0.385938883,0.401993752,0.408712745,0.408712745
3000,991,0.439593077,0.437793255,0.452741146,0.44203186,0.433792353,0.411048889,0.446935654,0.424871922,0.519627333,0.440785646,0.444922113,0.444922113
3100,1025,0.427855968,0.412897348,0.473731995,0.478628159,0.463273048,0.450538397,0.435097456,0.437829256,0.453665257,0.456791878,0.449030876,0.449030876
3200,1056,0.420930147,0.478569508,0.479931355,0.484163523,0.489998817,0.451353788,0.460766554,0.451855183,0.430353165,0.462732553,0.461065459,0.461065459
3300,1091,0.460540771,0.519812584,0.48905015,0.467646837,0.46344161,0.499811411,0.465330362,0.4591856,0.466950655,0.48973608,0.478150606,0.478150606
3400,1122,0.49276948,0.502619982,0.495642662,0.508062601,0.487986803,0.515265226,0.494015694,0.480313301,0.467425823,0.504936934,0.494903851,0.494903851
3500,1158,0.522710323,0.47223568,0.52391386,0.516414881,0.495735645,0.50191617,0.481650114,0.492065907,0.494496346,0.497361183,0.499850011,0.499850011
3600,1191,0.671170235,0.886605024,0.614357233,0.655776262,0.572471142,0.60238862,0.650773525,0.679844141,0.917099714,0.651819229,0.690230513,0.690230513
3700,1226,0.574466467,0.604498863,0.568480015,0.565957308,0.560014963,0.59689045,0.534749508,0.830404043,0.692699432,0.775827885,0.630398893,0.630398893
3800,1257,0.560790777,0.542636633,0.578917503,0.594513893,0.55317378,0.596630573,0.578378677,0.548190117,0.567982197,0.582443237,0.570365739,0.570365739
3900,1289,0.581012726,0.586764097,0.583440781,0.600575447,0.563576221,0.544418097,0.716971874,0.722607851,0.599279165,0.542865276,0.604151154,0.604151154
4000,1321,0.805837154,0.559841633,0.564491749,0.569387674,0.598066092,0.569455624,0.572088718,0.603386402,0.621306658,0.570473194,0.60343349,0.60343349
4100,1354,0.80380249,0.704828501,0.700073242,0.750603199,0.780670166,0.776920557,0.713317871,0.719153166,0.766707659,0.752624273,0.746870112,0.746870112
4200,1388,0.613326073,0.63628912,0.679191113,0.6346066,0.667546272,0.609662771,0.609843254,0.609030485,0.59263134,0.60097909,0.625310612,0.625310612
4300,1419,0.602908373,0.628092527,0.591418743,0.688197613,0.660482645,0.649999619,0.64301753,0.63329649,0.637063026,0.600436926,0.633491349,0.633491349
4400,1452,0.601493835,0.62739563,0.609690428,0.610625029,0.621406078,0.643662453,0.621340752,0.600960255,0.620339632,0.647012949,0.620392704,0.620392704
4500,1486,0.64922905,0.695527077,0.65720582,0.614320993,0.621802807,0.6263237,0.614377975,0.62258482,0.60834074,0.611328363,0.632104135,0.632104135
4600,1519,0.614515066,0.678091049,0.690171242,0.667215586,0.608317852,0.671442509,0.653267622,0.70039773,0.598013401,0.703079224,0.658451128,0.658451128
4700,1553,0.764815092,0.714090586,0.661231518,0.650087595,0.669002771,0.714105368,0.694960594,0.684024572,0.677011967,0.683346987,0.691267705,0.691267705
4800,1588,0.727718592,0.762608767,0.75083971,0.738607407,0.741878033,0.703988075,0.71774888,0.809519053,1.206235647,0.829083443,0.798822761,0.798822761
4900,1620,0.723635912,0.712788105,0.727654457,0.735714197,0.89292407,0.823021173,0.72071743,1.033399343,1.026255131,0.828391314,0.822450113,0.822450113
5000,1651,0.782902718,0.739562511,0.701872826,0.707430124,0.788891315,0.788737059,0.798016071,0.688487768,0.788118124,1.039711475,0.782372999,0.782372999
5100,1685,0.759728193,0.746052027,0.7419312,0.756015778,0.719826221,0.74347806,0.738899469,0.691820383,0.715945005,0.731997252,0.734569359,0.734569359
5200,1718,0.753932953,0.77372098,0.753415585,0.773492813,0.761771202,0.744846344,0.757895231,0.73203516,0.773531914,0.722643375,0.754728556,0.754728556
5300,1755,0.885737419,1.267365694,0.908820391,1.227236748,1.139874697,1.293892384,0.965280533,0.881082535,0.804225683,0.802351713,1.01758678,1.01758678
5400,1784,0.816000223,0.750077486,0.831265688,0.754763126,0.771528244,0.847699165,0.784949541,0.788378239,0.861560583,0.762259245,0.796848154,0.796848154
5500,1817,1.176770449,1.288620472,1.132932663,1.006845236,0.967263937,0.97040391,0.965261221,0.974520683,1.01894331,1.152875185,1.065443707,1.065443707
5600,1848,0.87699461,0.868872166,0.832215071,0.829046011,0.918117523,0.829258204,0.844705582,0.803051472,0.827650785,0.861476421,0.849138784,0.849138784
5700,1885,0.85675025,0.805079699,0.848179817,0.868221521,1.013302088,1.009374142,0.851989508,0.863039017,0.802937031,0.840443134,0.875931621,0.875931621
5800,1915,0.846840858,0.837197781,0.962157726,0.860682487,0.856863737,0.813879251,0.885974169,0.886992931,0.894132614,0.835811615,0.868053317,0.868053317
5900,1946,0.817819834,0.821800947,0.845145226,0.846063375,0.890442848,0.875440121,0.883247614,0.835370064,0.84325552,0.895513296,0.855409884,0.855409884
6000,1979,0.886127949,0.854966402,0.976942301,0.855860233,0.9289639,0.928886414,0.889587402,0.862658739,1.043937206,0.853963852,0.90818944,0.90818944
6100,2013,0.907341242,0.92029953,0.88054347,0.918250322,0.873111725,0.850696325,0.861391783,0.907388449,0.846289873,0.912695408,0.887800813,0.887800813
6200,2048,0.876936674,0.931196928,0.927086353,0.930024624,0.945580721,0.918298006,0.913872242,0.969990015,0.917952061,0.888101816,0.921903944,0.921903944
6300,2081,0.864632607,0.892832041,0.864048243,1.02934742,1.000500679,0.91954565,0.879602671,0.881453276,0.884987831,0.93804121,0.915499163,0.915499163
6400,2114,0.899574518,0.914315462,0.956447601,0.887793303,0.958230972,0.867697954,0.887096167,0.876124859,0.893036127,0.874460936,0.90147779,0.90147779
6500,2145,0.92909646,0.978548527,0.959436178,0.913154602,0.900733471,0.916912794,0.942084789,0.976553917,0.935612679,0.903036833,0.935517025,0.935517025
6600,2181,0.995084286,0.909623623,0.906960487,0.909066916,0.921056986,0.908035517,0.904068708,0.910437584,0.913670063,0.927948713,0.920595288,0.920595288
6700,2213,0.983871937,0.972044468,0.96783185,1.028131485,1.184013367,0.977176428,0.947062016,0.936468601,0.936007023,0.933032513,0.986563969,0.986563969
6800,2248,0.908504248,0.922026873,0.986308575,0.92722559,1.019052744,0.905760288,1.034186363,0.985106468,0.915033102,0.928961039,0.953216529,0.953216529
6900,2280,0.936035156,0.952059507,0.932050943,0.941078901,1.007645607,1.007698536,0.999482393,0.955599308,1.019447565,0.99091363,0.974201155,0.974201155
7000,2314,0.936072826,1.049709797,0.959368706,1.042023182,0.923820019,0.958312988,0.987024784,0.952925444,0.999413729,1.004665852,0.981333733,0.981333733
7100,2348,0.94163847,0.99136138,0.99998951,0.943452597,0.941713572,1.045435667,1.054155111,0.998927116,0.95155406,0.988880873,0.985710835,0.985710836
7200,2379,1.001152515,0.951068401,0.986430883,0.984298706,0.95947361,0.965255976,1.021429539,1.036996365,1.023078918,1.037331104,0.996651602,0.996651602
7300,2415,1.068126202,0.960893154,1.028045416,0.995552778,0.970454216,0.977129936,0.982368946,0.997651577,1.029883146,0.969188929,0.99792943,0.99792943
7400,2450,1.030546665,1.004840851,0.987255335,1.049489498,0.971050739,0.974234581,1.068309069,0.968295097,1.000709534,1.00395298,1.005868435,1.005868435
7500,2481,1.08605504,0.970426559,0.995347977,1.082359076,1.001034021,0.988738775,1.002473116,0.993851662,0.992352486,1.049431801,1.016207051,1.016207051
7600,2517,1.009565115,1.073257208,1.040683746,1.034260035,1.038128853,1.102015257,1.040953875,1.017712355,1.112886667,1.026148081,1.049561119,1.049561119
7700,2552,1.094137669,1.065923214,1.071289539,1.178977013,1.068341494,1.059005499,1.070079088,1.083415031,1.09702754,1.218518734,1.100671482,1.100671482
7800,2583,1.128564358,1.061555147,1.13543272,1.085073233,1.084949493,1.118234396,1.086558342,1.093357325,1.146903038,1.078813791,1.101944184,1.101944184
7900,2614,1.171336174,1.127099991,1.169347763,1.172864914,1.263540745,1.233583689,1.188648224,1.208670378,1.175808191,1.226714134,1.19376142,1.19376142
8000,2649,1.097042322,1.099297047,1.172708035,1.121888638,1.134879351,1.12787652,1.114501715,1.170226574,1.081127882,1.094857693,1.121440578,1.121440578
8100,2682,1.088750362,1.162760258,1.105195761,1.139473677,1.162777185,1.170869589,1.191562414,1.105169535,1.261811733,1.1324718,1.152084231,1.152084231
8200,2714,1.215237141,1.17329812,1.2609725,1.176083565,1.263912916,1.288753748,1.283867359,1.264343023,1.296929836,1.255657911,1.247905612,1.247905612
8300,2745,1.169778824,1.314488888,1.308610439,1.329613686,1.181260347,1.170374632,1.179694414,1.366877317,1.146332741,1.210030794,1.237706208,1.237706208
8400,2780,1.125066757,1.208079576,1.153049231,1.156105995,1.197980404,1.187181234,1.180967808,1.148044348,1.199764967,1.157916069,1.171415639,1.171415639
8500,2812,1.122437,1.153826714,1.142804861,1.185938358,1.172528267,1.169231653,1.223542213,1.165668964,1.139303684,1.204113483,1.16793952,1.16793952
8600,2844,1.335157156,1.357021093,1.327922821,1.320769548,1.354717731,1.371540308,1.482151747,1.481461048,1.451862812,1.35281992,1.383542418,1.383542418
8700,2880,1.304023027,1.321025372,1.210399389,1.206662178,1.219931841,1.224946499,1.231980324,1.234319687,1.258076668,1.244826317,1.24561913,1.24561913
8800,2913,1.296227694,1.320528269,1.355795622,1.277225971,1.65890193,1.290616751,1.407653332,1.253225565,1.552923203,1.354068518,1.376716685,1.376716685
8900,2945,1.25039506,1.307686329,1.267146349,1.256887674,1.230331898,1.258880615,1.230813265,1.357474327,1.263354778,1.313701153,1.273667145,1.273667145
9000,2977,1.303152084,1.296462536,1.345323563,1.256338835,1.290920258,1.499062061,1.854030848,2.081604004,2.230754375,1.577882051,1.573553061,1.573553061
9100,3009,1.398938179,1.471326351,1.361443996,1.515492916,1.414524794,1.360697508,1.359461546,1.315273762,1.333283663,1.26048851,1.379093122,1.379093122
9200,3038,1.408494711,1.321608067,1.406798124,1.281937838,1.366261721,1.418945551,1.388084412,1.335130692,1.476597309,1.382934093,1.378679252,1.378679252
9300,3072,3.219983816,3.153995037,3.023012161,3.285017729,3.218921423,3.187052965,3.056462288,2.572993279,2.441573858,1.817747355,2.897675991,2.897675991
9400,3105,1.426541328,1.359716415,1.476276875,1.37852931,1.369857073,1.406674862,1.383703947,1.461108446,1.378009081,1.385662556,1.402607989,1.402607989
9500,3141,1.40712142,1.409794092,1.409314156,1.413369179,1.80685401,1.413661718,1.398131609,1.40248251,1.442471027,1.345309258,1.444850898,1.444850898
9600,3173,1.384646893,1.401576281,1.42045784,1.337077379,1.43640995,1.346256018,1.356523514,1.40866065,1.420926094,1.407363415,1.391989803,1.391989803
9700,3208,1.299032927,1.346230745,1.334062099,1.390275955,1.320868015,1.377347231,1.323883533,1.309075117,1.401340961,1.384081364,1.348619795,1.348619795
9800,3242,1.379927874,1.298150539,1.286021471,1.359406233,1.342711926,1.359835863,1.333432674,1.275765419,1.3127141,1.293950796,1.324191689,1.324191689
9900,3275,1.323443174,1.404313087,1.387461185,1.3104074,1.326081514,1.338080168,1.384812593,1.327091217,1.322013378,1.413273811,1.353697753,1.353697753
10000,3308,1.4162395,1.310133934,1.418868303,1.341230392,1.369164944,1.330585957,1.343935966,1.383035898,1.324074984,1.330030203,1.356730008,1.356730008
