N,s,heuristic_min_usage_time,heuristic_optimization_time,gurobi_min_usage_time,gurobi_optimization_time,gurobi_model_build_time
1,1,32,0.001836801,32,0.011631608,0.005993533
2,1,32,0.002380133,32,0.019079566,0.005611634
3,2,32,0.001802683,32,0.026498008,0.00801096
4,2,32,0.001858497,32,0.034695315,0.014129925
5,3,32,0.002376103,32,0.041496396,0.014141273
6,3,32,0.000324345,32,0.050609779,0.02082715
7,3,32,0.001117826,32,0.062382102,0.022402763
8,3,32,0.0008775,32,0.123828983,0.022390962
9,4,32,0.002241826,32,0.06236763,0.021187949
10,4,32,0.006528068,32,0.099891233,0.021916318
11,5,32,0.001713061,32,0.074418926,0.026651669
12,5,32,0.002962136,32,0.079456401,0.030225277
13,5,32,0.002262044,32,0.102706242,0.026512146
14,6,32,0.000527024,32,0.110532641,0.035138941
15,6,32,0.003011036,32,0.13500607,0.036474895
20,7,32,0.00020082,32,0.765686464,0.049289799
30,11,32,0.002107286,32,0.322568703,0.06746583
40,14,32,0.001961136,32,5.499956131,0.100368094
50,18,32,0.006016946,32,1.057499146,0.118314695
60,21,32,0.004969001,32,4.553555107,0.136580753
70,25,32,0.005608177,32,2.279452658,0.164762044
80,28,32,0.008248878,32,3.244377136,0.185339046
90,31,32,0.008191013,32,19.28479824,0.204716921
100,34,32,0.009414887,32,308.6380102,0.253876591
