Students,Sockets,Heuristic_Z,Heuristic_U,Heuristic_Optimization_Time,Gurobi_Z,Gurobi_U,Gurobi_model_build_time,Gurobi_optimization_time
7,1,16.0,0.5133928571428571,0.0010008811950683594,16.0,0.5178571428571428,0.01799941062927246,1.447052001953125
7,1,18.0,0.5758928571428571,0.002001523971557617,18.0,0.5803571428571427,0.01799941062927246,1.0890655517578125
7,1,17.0,0.5357142857142857,0.0009999275207519531,17.0,0.5401785714285714,0.018001079559326172,0.9040322303771973
7,1,15.0,0.48660714285714285,0.001018524169921875,15.0,0.4866071428571426,0.018965959548950195,0.9373593330383301
7,1,14.0,0.46875,0.0019996166229248047,14.0,0.4732142857142856,0.02000284194946289,7.081503391265869
7,1,17.0,0.5401785714285714,0.002000093460083008,17.0,0.5491071428571427,0.017000198364257812,1.5195302963256836
7,1,15.0,0.5089285714285714,0.0010006427764892578,15.0,0.5267857142857142,0.018001317977905273,0.7055380344390869
7,1,16.0,0.5178571428571429,0.0019996166229248047,16.0,0.535714285714285,0.017000913619995117,5.3915488719940186
7,1,13.0,0.4375,0.001999378204345703,13.0,0.4642857142857143,0.02100372314453125,1.0592496395111084
7,1,15.0,0.5,0.0020003318786621094,15.0,0.5044642857142856,0.01801300048828125,7.1166462898254395
7,2,28.0,0.8928571428571429,0.0019996166229248047,28.0,0.8928571428571429,0.01700115203857422,7.058655500411987
7,2,30.0,0.9464285714285714,0.0009992122650146484,30.0,0.9553571428571427,0.01800060272216797,7.069307088851929
7,2,28.0,0.9017857142857143,0.002000093460083008,28.0,0.915178571428571,0.018004655838012695,7.0735485553741455
7,2,27.0,0.8482142857142857,0.0010008811950683594,27.0,0.8482142857142855,0.018001794815063477,2.0495781898498535
7,2,26.0,0.8214285714285714,0.0009999275207519531,26.0,0.8214285714285714,0.01800060272216797,7.064457893371582
7,2,30.0,0.9419642857142857,0.0009996891021728516,30.0,0.9419642857142854,0.01800060272216797,7.068700551986694
7,2,27.0,0.8526785714285714,0.0009989738464355469,27.0,0.8616071428571425,0.018000125885009766,1.3541629314422607
7,2,28.0,0.90625,0.0009996891021728516,28.0,0.915178571428571,0.018000364303588867,7.110821485519409
7,2,25.0,0.78125,0.00099945068359375,25.0,0.7901785714285713,0.01800084114074707,7.0631139278411865
7,2,26.0,0.8392857142857143,0.0019998550415039062,26.0,0.8437499999999997,0.017000198364257812,7.066496849060059
7,3,32.0,1.0,0.002001047134399414,32.0,1.0,0.017000436782836914,0.052001953125
7,3,32.0,1.0,0.001999378204345703,32.0,1.0,0.017000675201416016,0.04900240898132324
7,3,32.0,1.0,0.0019996166229248047,32.0,1.0,0.017000198364257812,0.04900169372558594
7,3,32.0,1.0,0.0009992122650146484,32.0,1.0,0.018000125885009766,0.053003549575805664
7,3,32.0,1.0,0.003000020980834961,32.0,1.0,0.02299809455871582,0.054000139236450195
7,3,32.0,1.0,0.001001596450805664,32.0,1.0,0.017998933792114258,0.04700064659118652
7,3,32.0,1.0,0.0010335445404052734,32.0,1.0,0.017180442810058594,0.04918050765991211
7,3,32.0,1.0,0.0020008087158203125,32.0,1.0,0.01700115203857422,0.05100274085998535
7,3,32.0,1.0,0.0019986629486083984,32.0,1.0,0.016968727111816406,0.052997589111328125
7,3,32.0,1.0,0.0020046234130859375,32.0,1.0,0.017001628875732422,0.05600380897521973
