Students,Sockets,Heuristic_Z,Heuristic_U,Heuristic_Optimization_Time,Gurobi_Z,Gurobi_U,Gurobi_model_build_time,Gurobi_optimization_time
40,1,6.0,0.2421875,0.006021261215209961,6.0,0.25468750000000007,0.10600113868713379,16.011977434158325
40,1,5.0,0.19453125,0.005998849868774414,5.0,0.2,0.0980372428894043,12.949832677841187
40,1,6.0,0.22265625,0.007608890533447266,6.0,0.22500000000000006,0.09701824188232422,9.813910961151123
40,1,5.0,0.2125,0.005030632019042969,5.0,0.2265625000000001,0.09500503540039062,9.395703315734863
40,1,5.0,0.209375,0.006029844284057617,5.0,0.22343750000000007,0.09700250625610352,11.251569032669067
40,1,5.0,0.21640625,0.0060062408447265625,5.0,0.2343750000000004,0.0989990234375,40.259400844573975
40,1,5.0,0.196875,0.010000944137573242,5.0,0.2007812500000001,0.0980072021484375,11.43472933769226
40,1,6.0,0.2171875,0.00900888442993164,6.0,0.2171875000000001,0.0960090160369873,8.429570198059082
40,1,5.0,0.209375,0.01000070571899414,5.0,0.22734375065072537,0.09803390502929688,40.255393981933594
40,1,6.0,0.24609375,0.006960153579711914,6.0,0.26484375000000004,0.09603285789489746,10.216589212417603
40,2,9.0,0.31171875,0.006008625030517578,9.0,0.3195312499999998,0.10300207138061523,40.331631898880005
40,2,7.0,0.25546875,0.006001472473144531,7.0,0.2687500003302955,0.09799051284790039,21.504918098449707
40,2,8.0,0.2875,0.006001710891723633,8.0,0.2945312499999999,0.09699726104736328,14.051345825195312
40,2,7.0,0.27421875,0.006033897399902344,7.0,0.29609374999999993,0.0950019359588623,17.205289840698242
40,2,7.0,0.27421875,0.005030155181884766,7.0,0.28828124999999993,0.09696745872497559,40.23228144645691
40,2,8.0,0.27734375,0.00700068473815918,8.0,0.2828125,0.10100746154785156,15.661088466644287
40,2,7.0,0.259375,0.005967140197753906,7.0,0.27421874999999996,0.09703445434570312,16.277647972106934
40,2,7.0,0.27890625,0.005044698715209961,7.0,0.30390624999999993,0.09504175186157227,40.29231119155884
40,2,7.0,0.27265625,0.0060312747955322266,7.0,0.29609374999999993,0.09596943855285645,40.265716552734375
40,2,8.0,0.31015625,0.009000301361083984,8.0,0.33515625001314675,0.0990304946899414,21.07128643989563
40,3,11.0,0.3859375,0.004998207092285156,11.0,0.39687499999999964,0.09604072570800781,40.20627284049988
40,3,9.0,0.31953125,0.009000062942504883,9.0,0.33437499999999987,0.09903573989868164,34.76189112663269
40,3,10.0,0.35078125,0.005999326705932617,10.0,0.36484374999999974,0.09703516960144043,26.238982677459717
40,3,9.0,0.3375,0.005029201507568359,9.0,0.36406250010470126,0.09600138664245605,27.161394596099854
40,3,10.0,0.33671875,0.00903463363647461,10.0,0.3476562499999998,0.09940433502197266,15.477920293807983
40,3,10.0,0.34375,0.005998849868774414,10.0,0.3531249999999998,0.1020052433013916,18.853591442108154
40,3,9.0,0.32265625,0.005998373031616211,9.0,0.3437499999999998,0.09700226783752441,27.187801599502563
40,3,10.0,0.34375,0.0059986114501953125,10.0,0.3539062499999997,0.0980379581451416,40.27673029899597
40,3,10.0,0.33515625,0.0059583187103271484,10.0,0.3406249999999998,0.09900188446044922,14.59243369102478
40,3,11.0,0.3796875,0.005884647369384766,11.0,0.3937499999999996,0.10103654861450195,19.56897735595703
40,4,13.0,0.45390625,0.0056073665618896484,13.0,0.4703124999999993,0.0992116928100586,40.22456216812134
40,4,11.0,0.38046875,0.005986213684082031,11.0,0.39687499999999953,0.09703373908996582,40.247339963912964
40,4,12.0,0.41484375,0.006000995635986328,12.0,0.43124999999999947,0.0980081558227539,40.27724623680115
40,4,12.0,0.39921875,0.005982637405395508,12.0,0.40703124999999957,0.09603452682495117,40.20158314704895
40,4,12.0,0.3984375,0.004997968673706055,12.0,0.40859375058056796,0.09703326225280762,40.26963233947754
40,4,12.0,0.40703125,0.005998373031616211,12.0,0.4218749999999995,0.10254383087158203,29.865493774414062
40,4,11.0,0.3890625,0.005007028579711914,11.0,0.4039062499999996,0.09800314903259277,40.264041900634766
40,4,12.0,0.40625,0.005031108856201172,12.0,0.4210937499999995,0.09599995613098145,40.44637894630432
40,4,12.0,0.4,0.00599980354309082,12.0,0.4117187499999995,0.10100889205932617,40.25138020515442
40,4,13.0,0.4484375,0.004967451095581055,13.0,0.47031249999999936,0.09700894355773926,40.25205206871033
40,5,16.0,0.52734375,0.005988359451293945,16.0,0.5382812499999992,0.09800410270690918,40.288533210754395
40,5,13.0,0.44765625,0.006174325942993164,13.0,0.46328125283438204,0.10350179672241211,40.199607133865356
40,5,14.0,0.4796875,0.004992485046386719,14.0,0.5007812499999992,0.09803462028503418,40.220661878585815
40,5,14.0,0.459375,0.005994081497192383,14.0,0.47265624999999933,0.10000872611999512,23.784562349319458
40,5,14.0,0.4625,0.005032777786254883,14.0,0.47031249999999925,0.09900188446044922,40.174896478652954
40,5,14.0,0.47109375,0.006255626678466797,14.0,0.48749999999999927,0.10045909881591797,40.231141567230225
40,5,14.0,0.453125,0.004967212677001953,14.0,0.45937499999999937,0.10500335693359375,28.86746573448181
40,5,14.0,0.4734375,0.0050008296966552734,14.0,0.48749999999999927,0.0970005989074707,40.23344349861145
40,5,14.0,0.46171875,0.006000518798828125,14.0,0.47578125151046646,0.09900903701782227,40.22345781326294
40,5,15.0,0.5109375,0.00502467155456543,15.0,0.5414062499999991,0.09900784492492676,33.133050203323364
40,6,18.0,0.596875,0.0049855709075927734,18.0,0.6124999999999988,0.09700322151184082,40.20350503921509
40,6,15.0,0.50859375,0.006000518798828125,15.0,0.5242187499999992,0.0980076789855957,40.29206418991089
40,6,16.0,0.5453125,0.004999876022338867,16.0,0.564843749999999,0.09603309631347656,40.27091693878174
40,6,16.0,0.52890625,0.00503087043762207,16.0,0.5414062499999991,0.09700322151184082,40.18036246299744
40,6,16.0,0.52578125,0.005030393600463867,16.0,0.5374999999999992,0.09797120094299316,40.232073068618774
40,6,16.0,0.53671875,0.005001068115234375,16.0,0.5507812499999991,0.09703421592712402,40.18654537200928
40,6,16.0,0.51953125,0.00600123405456543,16.0,0.5312499999999991,0.10303354263305664,28.24527144432068
40,6,16.0,0.5390625,0.004998683929443359,16.0,0.5601562499999989,0.09703373908996582,40.1989369392395
40,6,16.0,0.52578125,0.004972934722900391,16.0,0.546093749999999,0.10199928283691406,40.206217527389526
40,6,18.0,0.5828125,0.004990339279174805,18.0,0.5945312499999988,0.09697461128234863,40.241779804229736
40,7,21.0,0.66875,0.004984140396118164,21.0,0.6765624999999986,0.09797453880310059,40.24400496482849
40,7,17.0,0.5734375,0.005031108856201172,17.0,0.5851562499999989,0.09800195693969727,40.18909192085266
40,7,18.0,0.6078125,0.004999399185180664,18.0,0.6281249999999987,0.09800410270690918,40.29465627670288
40,7,18.0,0.590625,0.005029439926147461,18.0,0.6039062499999989,0.10297060012817383,40.179436922073364
40,7,18.0,0.58984375,0.004972934722900391,18.0,0.6,0.10303592681884766,40.212104082107544
40,7,18.0,0.603125,0.004997968673706055,18.0,0.6210937499999989,0.10703635215759277,40.283727169036865
40,7,18.0,0.58125,0.00499725341796875,18.0,0.5953124999999989,0.10703182220458984,40.17280387878418
40,7,19.0,0.6046875,0.005000591278076172,19.0,0.6101562499999988,0.10000348091125488,36.62319898605347
40,7,18.0,0.59296875,0.004998922348022461,18.0,0.6109374999999988,0.10303449630737305,40.2681941986084
40,7,20.0,0.64921875,0.005002021789550781,20.0,0.6656249999999986,0.10199952125549316,40.2444908618927
40,8,23.0,0.740625,0.006024599075317383,23.0,0.7468749999999983,0.09901094436645508,40.204705238342285
40,8,19.0,0.6375,0.0050106048583984375,19.0,0.65,0.10300183296203613,40.243415117263794
40,8,21.0,0.67421875,0.004992961883544922,21.0,0.6859374999999985,0.09800910949707031,40.21314764022827
40,8,20.0,0.65625,0.004988193511962891,20.0,0.6742187499999986,0.09900832176208496,40.2870352268219
40,8,20.0,0.65546875,0.00503993034362793,20.0,0.6656249999999987,0.0970003604888916,40.234745025634766
40,8,20.0,0.665625,0.006001710891723633,20.0,0.6843749999999986,0.11838912963867188,40.17567563056946
40,8,20.0,0.65,0.005001068115234375,20.0,0.6593750003281438,0.1060020923614502,40.230576038360596
40,8,20.0,0.66796875,0.0040247440338134766,20.0,0.6812499999999986,0.09798502922058105,40.171795129776
40,8,20.0,0.65625,0.00402379035949707,20.0,0.6765624999999986,0.10197019577026367,40.17946124076843
40,8,22.0,0.71640625,0.004030704498291016,22.0,0.7343749999999983,0.10200214385986328,40.29427361488342
40,9,25.0,0.80703125,0.004031181335449219,24.0,0.828906249999998,0.0969686508178711,40.25694274902344
40,9,21.0,0.6953125,0.00503230094909668,21.0,0.7117187499999985,0.0969700813293457,40.30554509162903
40,9,23.0,0.7390625,0.004030466079711914,23.0,0.7531249999999983,0.09600186347961426,40.2196946144104
40,9,22.0,0.71875,0.0040073394775390625,22.0,0.7351562499999984,0.10200166702270508,40.28425645828247
40,9,22.0,0.71796875,0.0050182342529296875,22.0,0.7296874999999984,0.09800052642822266,40.255887269973755
40,9,23.0,0.73203125,0.004964113235473633,23.0,0.7398437499999984,0.09604477882385254,40.215267181396484
40,9,22.0,0.709375,0.004994869232177734,22.0,0.7265624999999983,0.09601998329162598,40.25437521934509
40,9,23.0,0.7328125,0.004991769790649414,23.0,0.7429687499999984,0.10103416442871094,40.27045392990112
40,9,22.0,0.721875,0.005032539367675781,22.0,0.7406249999999984,0.09800457954406738,40.253573417663574
40,9,24.0,0.78203125,0.0059964656829833984,24.0,0.8015624999999982,0.09799814224243164,40.166703939437866
40,10,27.0,0.88046875,0.004572391510009766,26.0,0.8929687499999978,0.10195064544677734,40.16028833389282
40,10,24.0,0.759375,0.005026340484619141,22.0,0.7742187499999982,0.09897422790527344,40.30224895477295
40,10,25.0,0.80390625,0.004938364028930664,25.0,0.810156249999998,0.1047050952911377,40.25624084472656
40,10,24.0,0.78359375,0.004032135009765625,24.0,0.7992187499999981,0.09797096252441406,40.15567350387573
40,10,24.0,0.78125,0.004017353057861328,24.0,0.7929687499999982,0.10208654403686523,40.17049217224121
40,10,25.0,0.796875,0.0050013065338134766,25.0,0.8046874999999981,0.09600210189819336,40.19889521598816
40,10,24.0,0.775,0.0050237178802490234,24.0,0.7859374999999982,0.10000896453857422,40.25282168388367
40,10,25.0,0.7953125,0.004999876022338867,24.0,0.8124999999999981,0.1009674072265625,40.16566824913025
40,10,24.0,0.78203125,0.004000425338745117,24.0,0.7906249999999982,0.09900021553039551,40.165507078170776
40,10,27.0,0.85234375,0.004004478454589844,25.0,0.870312499999998,0.09900546073913574,40.16544961929321
40,11,30.0,0.9515625,0.003992557525634766,29.0,0.9523437499999976,0.11296916007995605,40.25515365600586
40,11,26.0,0.82265625,0.004031181335449219,25.0,0.8328124999999981,0.09900069236755371,40.265801429748535
40,11,27.0,0.86875,0.0040171146392822266,26.0,0.880468749999998,0.10297203063964844,40.163955211639404
40,11,26.0,0.846875,0.005000114440917969,26.0,0.850781249999998,0.10200381278991699,40.27448606491089
40,11,26.0,0.84453125,0.0050013065338134766,26.0,0.856249999999998,0.09700155258178711,40.169938802719116
40,11,27.0,0.859375,0.003999471664428711,26.0,0.868749999999998,0.09803581237792969,40.24914240837097
40,11,26.0,0.83984375,0.004999637603759766,25.0,0.8546874999999979,0.09700655937194824,40.29996371269226
40,11,27.0,0.8609375,0.003998994827270508,26.0,0.8710937499999979,0.10694122314453125,40.28644013404846
40,11,26.0,0.84609375,0.003998994827270508,25.0,0.8679687499999978,0.09702277183532715,40.27819776535034
40,11,29.0,0.92265625,0.0038509368896484375,28.0,0.9289062499999978,0.09987664222717285,40.277334213256836
40,12,32.0,1.0,0.0029993057250976562,32.0,1.0,0.09703350067138672,5.7291953563690186
40,12,28.0,0.88515625,0.00400090217590332,26.0,0.8953124999999977,0.0970001220703125,40.1601939201355
40,12,29.0,0.93359375,0.0030188560485839844,28.0,0.9437499999999976,0.09900021553039551,40.23577308654785
40,12,29.0,0.9109375,0.0039997100830078125,27.0,0.9195312499999978,0.09902763366699219,40.26728320121765
40,12,29.0,0.9109375,0.00403285026550293,27.0,0.9187500000510636,0.09700608253479004,40.23220491409302
40,12,29.0,0.92421875,0.004032611846923828,28.0,0.9296874999999977,0.0970001220703125,40.15894341468811
40,12,28.0,0.90625,0.004999637603759766,27.0,0.9156249999999977,0.09903430938720703,40.24940276145935
40,12,29.0,0.92578125,0.004030466079711914,28.0,0.9367187499999976,0.10100698471069336,40.26944422721863
40,12,29.0,0.9140625,0.003032684326171875,27.0,0.9218749999999976,0.09704041481018066,40.164117097854614
40,12,31.0,0.990625,0.003833770751953125,30.0,0.9835937499999975,0.09983086585998535,40.20879340171814
40,13,32.0,1.0,0.00402379035949707,32.0,1.0,0.09900784492492676,0.6534161567687988
40,13,30.0,0.94765625,0.003998756408691406,28.0,0.9515624999999978,0.0970008373260498,40.263519287109375
40,13,32.0,1.0,0.003018617630004883,30.0,0.9937499999999975,0.09799981117248535,40.22754907608032
40,13,31.0,0.9765625,0.0030112266540527344,29.0,0.9710937499999976,0.09703278541564941,40.243911266326904
40,13,30.0,0.97109375,0.004000663757324219,29.0,0.9726562499999976,0.09700131416320801,40.2897047996521
40,13,31.0,0.9875,0.003032207489013672,30.0,0.9843749999999973,0.0969703197479248,40.21145963668823
40,13,31.0,0.971875,0.003998517990112305,30.0,0.9742187499999976,0.11403608322143555,40.19170022010803
40,13,31.0,0.9953125,0.002998828887939453,31.0,0.9882812499999974,0.09800076484680176,40.207783937454224
40,13,31.0,0.97734375,0.00299835205078125,29.0,0.9789062499999976,0.09800076484680176,40.22273635864258
40,13,32.0,1.0,0.0029976367950439453,32.0,1.0,0.09798336029052734,1.7214508056640625
40,14,32.0,1.0,0.0029997825622558594,32.0,1.0,0.09800076484680176,0.31600308418273926
40,14,32.0,1.0,0.003000497817993164,31.0,0.9984374999999974,0.09603309631347656,40.232670545578
40,14,32.0,1.0,0.003974437713623047,32.0,1.0,0.09600090980529785,0.41500425338745117
40,14,32.0,1.0,0.0039997100830078125,32.0,1.0,0.0970005989074707,3.1817831993103027
40,14,32.0,1.0,0.003998994827270508,32.0,1.0,0.09603476524353027,3.1027538776397705
40,14,32.0,1.0,0.0029990673065185547,32.0,1.0,0.09800314903259277,0.45400428771972656
40,14,32.0,1.0,0.002999544143676758,32.0,1.0,0.09603404998779297,3.2982375621795654
40,14,32.0,1.0,0.004002571105957031,32.0,1.0,0.09796595573425293,1.3671085834503174
40,14,32.0,1.0,0.003998994827270508,32.0,1.0,0.10100078582763672,1.1650111675262451
40,14,32.0,1.0,0.0029859542846679688,32.0,1.0,0.09800052642822266,0.3970036506652832
40,15,32.0,1.0,0.003999948501586914,32.0,1.0,0.09600067138671875,0.40200304985046387
40,15,32.0,1.0,0.003000974655151367,32.0,1.0,0.10805249214172363,0.4546210765838623
40,15,32.0,1.0,0.0029990673065185547,32.0,1.0,0.09603333473205566,0.48900604248046875
40,15,32.0,1.0,0.0029993057250976562,32.0,1.0,0.09600067138671875,0.5760056972503662
40,15,32.0,1.0,0.0029990673065185547,32.0,1.0,0.0970008373260498,0.37700438499450684
40,15,32.0,1.0,0.003999233245849609,32.0,1.0,0.0970005989074707,0.37809014320373535
40,15,32.0,1.0,0.003366708755493164,32.0,1.0,0.10053062438964844,0.3815305233001709
40,15,32.0,1.0,0.0029997825622558594,32.0,1.0,0.0970010757446289,0.41300463676452637
40,15,32.0,1.0,0.0029993057250976562,32.0,1.0,0.09999990463256836,0.38100337982177734
40,15,32.0,1.0,0.003999471664428711,32.0,1.0,0.0970008373260498,0.35500383377075195
