Students,Sockets,Heuristic_Z,Heuristic_U,Heuristic_Optimization_Time,Gurobi_Z,Gurobi_U,Gurobi_model_build_time,Gurobi_optimization_time
34,1,7.0,0.25183823529411764,0.005033254623413086,7.0,0.25459558823529405,0.08600115776062012,8.586702108383179
34,1,5.0,0.203125,0.004987239837646484,5.0,0.21507352941176405,0.08703470230102539,31.222231149673462
34,1,5.0,0.23069852941176472,0.004998207092285156,5.0,0.2545955882352941,0.08200240135192871,10.157532691955566
34,1,7.0,0.25827205882352944,0.004998207092285156,7.0,0.26194852941176466,0.08203411102294922,8.08050799369812
34,1,6.0,0.21507352941176472,0.005033016204833984,6.0,0.22334558823529413,0.08999943733215332,10.652067422866821
34,1,6.0,0.21783088235294118,0.008041858673095703,6.0,0.21966911764705882,0.0829935073852539,34.196266651153564
34,1,5.0,0.22150735294117646,0.006009578704833984,5.0,0.23621323529411692,0.08300113677978516,33.80934715270996
34,1,6.0,0.24080882352941177,0.00503087043762207,6.0,0.25091911764705876,0.08103132247924805,11.61359691619873
34,1,6.0,0.24908088235294118,0.005032777786254883,6.0,0.26378676470588225,0.08199858665466309,11.565767049789429
34,1,6.0,0.23253676470588236,0.005000114440917969,6.0,0.23345588235294118,0.08203554153442383,7.732716798782349
34,2,9.0,0.33639705882352944,0.006000041961669922,9.0,0.3538602941176467,0.0890047550201416,34.278979778289795
34,2,8.0,0.27481617647058826,0.005023956298828125,8.0,0.28033088235294107,0.08401107788085938,17.865845203399658
34,2,8.0,0.3005514705882353,0.004998922348022461,8.0,0.3143382352941174,0.08403658866882324,14.819063186645508
34,2,9.0,0.33088235294117646,0.0049991607666015625,9.0,0.35110294117647023,0.08303642272949219,11.643709182739258
34,2,8.0,0.28952205882352944,0.0050318241119384766,8.0,0.3033088235294116,0.08197140693664551,34.2169828414917
34,2,8.0,0.28860294117647056,0.0050160884857177734,8.0,0.2987132371472535,0.08300042152404785,34.2507643699646
34,2,8.0,0.3005514705882353,0.005023479461669922,8.0,0.31525735294117624,0.08201098442077637,25.403162240982056
34,2,9.0,0.32077205882352944,0.004999637603759766,9.0,0.3272058823529409,0.0870354175567627,9.775548934936523
34,2,9.0,0.32169117647058826,0.005032539367675781,9.0,0.3400735294117644,0.08100295066833496,12.147404670715332
34,2,8.0,0.3069852941176471,0.005031108856201172,8.0,0.32904411764705854,0.08300399780273438,34.27200245857239
34,3,12.0,0.4163602941176471,0.0049896240234375,12.0,0.4347426470588229,0.08400535583496094,34.25514221191406
34,3,10.0,0.35110294117647056,0.004999876022338867,10.0,0.36121323529411725,0.08603429794311523,34.23862910270691
34,3,11.0,0.3740808823529412,0.005027055740356445,11.0,0.3851102941176466,0.0810081958770752,19.2459819316864
34,3,12.0,0.4108455882352941,0.004998683929443359,12.0,0.42463235294117585,0.0870358943939209,18.437718629837036
34,3,11.0,0.36764705882352944,0.004999876022338867,11.0,0.3768382352941172,0.0880289077758789,10.477327346801758
34,3,11.0,0.36213235294117646,0.004031181335449219,11.0,0.367647058823529,0.08100342750549316,13.821510076522827
34,3,11.0,0.37775735294117646,0.005001068115234375,11.0,0.3915441176470583,0.08696651458740234,34.25345969200134
34,3,11.0,0.3943014705882353,0.005002737045288086,11.0,0.42003676470588175,0.08703136444091797,34.26709198951721
34,3,11.0,0.39797794117647056,0.006991147994995117,11.0,0.4218749999999994,0.09500670433044434,34.23402762413025
34,3,11.0,0.3851102941176471,0.005908012390136719,11.0,0.40165441176470534,0.09325313568115234,15.024939775466919
34,4,15.0,0.49724264705882354,0.00503230094909668,15.0,0.5137867647058814,0.08300018310546875,34.210663080215454
34,4,12.0,0.4227941176470588,0.005027294158935547,12.0,0.4411764705882346,0.08501076698303223,34.18886852264404
34,4,13.0,0.4476102941176471,0.0050008296966552734,13.0,0.46599264705882276,0.09292912483215332,34.234858989715576
34,4,15.0,0.49172794117647056,0.005002260208129883,15.0,0.5,0.08403396606445312,24.30233383178711
34,4,13.0,0.44025735294117646,0.005000591278076172,13.0,0.4586397058823522,0.08300209045410156,34.21677327156067
34,4,13.0,0.43933823529411764,0.005022287368774414,13.0,0.44761029411764636,0.08300900459289551,34.20397877693176
34,4,14.0,0.453125,0.005000114440917969,14.0,0.459558823529411,0.08400201797485352,21.037214994430542
34,4,14.0,0.4696691176470588,0.005000591278076172,14.0,0.485294117647058,0.08403491973876953,34.21318507194519
34,4,14.0,0.47610294117647056,0.004998683929443359,14.0,0.49724264705882265,0.08400988578796387,34.27511501312256
34,4,14.0,0.4577205882352941,0.00500035285949707,14.0,0.4724264705882345,0.08204102516174316,34.22051930427551
34,5,18.0,0.5827205882352942,0.0049479007720947266,18.0,0.59283088235294,0.0876474380493164,34.185367584228516
34,5,15.0,0.4963235294117647,0.0070002079010009766,15.0,0.505514705882352,0.08403348922729492,34.162829637527466
34,5,16.0,0.5229779411764706,0.0049741268157958984,16.0,0.5321691176470578,0.08403706550598145,34.332117319107056
34,5,17.0,0.5707720588235294,0.0040264129638671875,17.0,0.59283088235294,0.0869743824005127,34.26105260848999
34,5,16.0,0.5174632352941176,0.004973888397216797,16.0,0.5248161764705872,0.08403444290161133,25.427974939346313
34,5,15.0,0.5082720588235294,0.004999399185180664,15.0,0.5229779411764697,0.08200287818908691,34.19514036178589
34,5,16.0,0.53125,0.005598306655883789,16.0,0.5431985294117636,0.08400225639343262,34.163368225097656
34,5,16.0,0.546875,0.004998207092285156,16.0,0.5680147058823518,0.08300232887268066,34.1888530254364
