Students,Sockets,Heuristic_Z,Heuristic_U,Heuristic_Optimization_Time,Gurobi_Z,Gurobi_U,Gurobi_model_build_time,Gurobi_optimization_time
25,1,6.0,0.2525,0.0040285587310791016,6.0,0.27375000000000005,0.060970306396484375,25.21500301361084
25,1,7.0,0.2625,0.004001140594482422,7.0,0.2737500000000001,0.07501006126403809,7.909338712692261
25,1,7.0,0.25,0.0039997100830078125,7.0,0.25500000000000006,0.06200385093688965,5.1903088092803955
25,1,7.0,0.26125,0.003995418548583984,7.0,0.2775000000000001,0.062001943588256836,6.0852415561676025
25,1,6.0,0.24875,0.0039997100830078125,6.0,0.27125000000000005,0.06500458717346191,25.18826651573181
25,1,6.0,0.23125,0.003999948501586914,6.0,0.23875000000000005,0.062000274658203125,8.488385438919067
25,1,7.0,0.2725,0.004000186920166016,7.0,0.2850000000000001,0.06400084495544434,25.173197984695435
25,1,7.0,0.27375,0.005975008010864258,7.0,0.2800000000000001,0.06300210952758789,5.525141000747681
25,1,7.0,0.25125,0.003998756408691406,7.0,0.26000000000000006,0.06203269958496094,13.780252456665039
25,1,6.0,0.235,0.003998517990112305,6.0,0.2512500000000001,0.07003402709960938,18.37514305114746
25,2,10.0,0.3625,0.003999471664428711,10.0,0.38000000000000017,0.06302833557128906,25.17168140411377
25,2,11.0,0.36875,0.00700068473815918,11.0,0.37250000000000016,0.10499978065490723,10.452279329299927
25,2,10.0,0.35,0.004001140594482422,10.0,0.36000000000000015,0.07199907302856445,14.089484214782715
25,2,11.0,0.3775,0.003999948501586914,11.0,0.3850000000000002,0.06600236892700195,10.834485530853271
25,2,10.0,0.34875,0.00400090217590332,10.0,0.3637500000000002,0.06399989128112793,25.169074535369873
25,2,9.0,0.3275,0.003999948501586914,9.0,0.34250000000000014,0.06397747993469238,10.185312271118164
25,2,11.0,0.37875,0.0040013790130615234,11.0,0.3925000000000002,0.06400036811828613,9.173531770706177
25,2,11.0,0.38,0.003999948501586914,11.0,0.3900000000000002,0.0630035400390625,7.824267864227295
25,2,10.0,0.35125,0.003999948501586914,10.0,0.37000000000000016,0.06203269958496094,25.190788984298706
25,2,10.0,0.3425,0.0029866695404052734,10.0,0.3487500000000001,0.06099820137023926,25.18743658065796
25,3,14.0,0.47,0.0039784908294677734,14.0,0.48625000000000024,0.06197690963745117,18.964228630065918
25,3,14.0,0.47375,0.0029990673065185547,14.0,0.48375000000000024,0.061028480529785156,25.17685866355896
25,3,14.0,0.4525,0.0040323734283447266,14.0,0.46125000000000027,0.06599950790405273,25.178000926971436
25,3,14.0,0.4825,0.002998828887939453,14.0,0.5062500000000002,0.06203103065490723,25.178372144699097
25,3,14.0,0.45375,0.003023386001586914,14.0,0.46125000000000027,0.06300878524780273,12.667749404907227
25,3,13.0,0.4275,0.0040013790130615234,13.0,0.4350000000000002,0.0610346794128418,25.158918380737305
25,3,15.0,0.485,0.003000497817993164,15.0,0.4900000000000002,0.062029361724853516,10.04788064956665
25,3,15.0,0.48625,0.004001140594482422,15.0,0.48875000000000024,0.06503105163574219,9.600451231002808
25,3,14.0,0.45375,0.0029938220977783203,14.0,0.4587500000000002,0.06100034713745117,8.651833295822144
25,3,13.0,0.4475,0.003999948501586914,13.0,0.463750007344624,0.06200051307678223,25.19392681121826
25,4,18.0,0.58875,0.0039865970611572266,18.0,0.5975000000000003,0.061005592346191406,25.2512264251709
25,4,18.0,0.57625,0.0029981136322021484,18.0,0.5812500000000003,0.0650014877319336,25.179030656814575
25,4,17.0,0.555,0.0029909610748291016,17.0,0.5687500000000003,0.06203126907348633,12.326313972473145
25,4,18.0,0.59875,0.0030388832092285156,18.0,0.6137500000000004,0.060039520263671875,25.173547744750977
25,4,17.0,0.5575,0.0029990673065185547,17.0,0.5700000000000003,0.06103372573852539,25.20848774909973
25,4,16.0,0.52875,0.0039942264556884766,16.0,0.5400000000000003,0.06997847557067871,25.215858459472656
25,4,18.0,0.5925,0.0030193328857421875,18.0,0.6062500000000003,0.07600593566894531,25.149463415145874
25,4,18.0,0.595,0.0050013065338134766,18.0,0.6162500000000003,0.05999946594238281,25.20599603652954
25,4,17.0,0.55875,0.003999471664428711,17.0,0.5712500000000003,0.06200861930847168,25.184661388397217
25,4,17.0,0.55,0.003999471664428711,17.0,0.5600000000000003,0.061008453369140625,25.22712731361389
25,5,21.0,0.6975,0.003031492233276367,21.0,0.7175000000000004,0.06199073791503906,25.18670392036438
25,5,21.0,0.68,0.0029993057250976562,21.0,0.6875000000000004,0.06300067901611328,25.187700986862183
25,5,20.0,0.655,0.003031492233276367,20.0,0.676250002434535,0.06300067901611328,25.143076181411743
25,5,22.0,0.71125,0.0032341480255126953,22.0,0.7225000000000004,0.06428670883178711,25.172691345214844
25,5,21.0,0.66125,0.0040018558502197266,21.0,0.6650000000000004,0.061966896057128906,25.17674422264099
25,5,19.0,0.625,0.003999948501586914,19.0,0.6375000000000004,0.06100630760192871,25.14199709892273
25,5,22.0,0.7,0.003999948501586914,22.0,0.7087500000000004,0.06300616264343262,25.21141481399536
25,5,22.0,0.70625,0.0030181407928466797,22.0,0.7187500000000004,0.06198596954345703,15.759600400924683
25,5,20.0,0.66125,0.0030183792114257812,20.0,0.6737500000000003,0.059981346130371094,25.142884254455566
25,5,20.0,0.65625,0.0039920806884765625,20.0,0.6725000011758568,0.06400752067565918,25.146814584732056
25,6,25.0,0.81125,0.0039997100830078125,25.0,0.8212500000000006,0.06100106239318848,25.166511058807373
25,6,24.0,0.78375,0.0030248165130615234,24.0,0.7912500000000005,0.061011552810668945,25.146458387374878
25,6,23.0,0.76125,0.003000020980834961,23.0,0.7762500000000004,0.06203508377075195,25.186834573745728
