Students,Sockets,Heuristic_Z,Heuristic_U,Heuristic_Optimization_Time,Gurobi_Z,Gurobi_U,Gurobi_model_build_time,Gurobi_optimization_time
5,1,23.0,0.74375,0.0009963512420654297,23.0,0.75,0.02302718162536621,0.5339939594268799
5,1,21.0,0.66875,0.0009996891021728516,21.0,0.68125,0.014999628067016602,0.4925546646118164
5,1,22.0,0.7,0.0020003318786621094,22.0,0.7,0.012999296188354492,0.07303309440612793
5,1,22.0,0.6875,0.002970457077026367,22.0,0.6875000000000001,0.01302790641784668,0.1330270767211914
5,1,22.0,0.7,0.002026081085205078,22.0,0.7,0.012970685958862305,0.5769984722137451
5,1,21.0,0.66875,0.0009999275207519531,21.0,0.68125,0.013031482696533203,0.5149960517883301
5,1,20.0,0.64375,0.0010001659393310547,20.0,0.65625,0.015002012252807617,0.8185384273529053
5,1,20.0,0.65,0.0009996891021728516,20.0,0.6625000000000001,0.012983083724975586,0.6269791126251221
5,1,15.0,0.5,0.0019996166229248047,15.0,0.5062499999999933,0.013000011444091797,0.6050262451171875
5,1,24.0,0.75,0.0009992122650146484,24.0,0.75,0.01300048828125,0.9861609935760498
5,2,32.0,1.0,0.0010001659393310547,32.0,1.0,0.012999773025512695,0.037973880767822266
5,2,32.0,1.0,0.002000093460083008,32.0,1.0,0.01300048828125,0.0390017032623291
5,2,32.0,1.0,0.0010340213775634766,32.0,1.0,0.012969017028808594,0.03799581527709961
5,2,32.0,1.0,0.001031637191772461,32.0,1.0,0.01300048828125,0.041001319885253906
5,2,32.0,1.0,0.0009996891021728516,32.0,1.0,0.012035846710205078,0.03803110122680664
5,2,32.0,1.0,0.0010304450988769531,32.0,1.0,0.013000249862670898,0.03699970245361328
5,2,32.0,1.0,0.001001119613647461,32.0,1.0,0.013028144836425781,0.03903007507324219
5,2,32.0,1.0,0.001997709274291992,32.0,1.0,0.011969804763793945,0.037000179290771484
5,2,28.0,0.90625,0.001028299331665039,28.0,0.9062499999999978,0.013002634048461914,6.216883897781372
5,2,32.0,1.0,0.0009996891021728516,32.0,1.0,0.016000032424926758,0.04700040817260742
5,3,32.0,1.0,0.0010004043579101562,32.0,1.0,0.014999866485595703,0.042999982833862305
5,3,32.0,1.0,0.002000570297241211,32.0,1.0,0.017023563385009766,0.04399895668029785
5,3,32.0,1.0,0.002001523971557617,32.0,1.0,0.014997005462646484,0.03899741172790527
5,3,32.0,1.0,0.0009942054748535156,32.0,1.0,0.014001131057739258,0.03700375556945801
5,3,32.0,1.0,0.0019953250885009766,32.0,1.0,0.01300048828125,0.035989999771118164
5,3,32.0,1.0,0.0019822120666503906,32.0,1.0,0.013029336929321289,0.037027597427368164
5,3,32.0,1.0,0.0010318756103515625,32.0,1.0,0.014000892639160156,0.042967796325683594
5,3,32.0,1.0,0.0040051937103271484,32.0,1.0,0.01599431037902832,0.04099321365356445
5,3,32.0,1.0,0.0009996891021728516,32.0,1.0,0.017000436782836914,0.04599881172180176
5,3,32.0,1.0,0.002001047134399414,32.0,1.0,0.015999555587768555,0.04203343391418457
