Students,Sockets,Heuristic_Z,Heuristic_U,Heuristic_Optimization_Time,Gurobi_Z,Gurobi_U,Gurobi_model_build_time,Gurobi_optimization_time
36,1,6.0,0.24739583333333334,0.004998922348022461,6.0,0.2621527777777778,0.08503866195678711,36.31300616264343
36,1,5.0,0.2074652777777778,0.004998683929443359,5.0,0.2213541666666667,0.08800172805786133,36.3318886756897
36,1,5.0,0.2230902777777778,0.006000518798828125,5.0,0.24392361111111113,0.08803296089172363,36.28399872779846
36,1,6.0,0.23524305555555555,0.004998207092285156,6.0,0.24739583333333334,0.09082651138305664,12.171422243118286
36,1,5.0,0.2152777777777778,0.00599980354309082,5.0,0.23263888997517887,0.09203505516052246,21.623928785324097
36,1,5.0,0.2152777777777778,0.005999326705932617,5.0,0.23263888888888895,0.08700227737426758,36.29232168197632
36,1,6.0,0.2152777777777778,0.00661158561706543,6.0,0.21614583333333334,0.08800029754638672,10.4034264087677
36,1,6.0,0.23177083333333334,0.005968332290649414,6.0,0.23437500000000003,0.08703494071960449,7.224810838699341
36,1,6.0,0.23177083333333334,0.004999637603759766,6.0,0.23958333333333337,0.08700108528137207,11.084400177001953
36,1,6.0,0.2309027777777778,0.005033016204833984,6.0,0.2369791666666667,0.08699965476989746,36.44326639175415
36,2,9.0,0.3246527777777778,0.007998943328857422,9.0,0.3402777777777775,0.10503292083740234,18.908429384231567
36,2,8.0,0.2786458333333333,0.006000041961669922,8.0,0.28732638888888884,0.08603429794311523,15.530369758605957
36,2,8.0,0.2960069444444444,0.005999326705932617,8.0,0.31076388888888873,0.08603358268737793,36.19615602493286
36,2,9.0,0.3055555555555556,0.005972862243652344,9.0,0.30989583333333315,0.08800244331359863,10.192257165908813
36,2,8.0,0.2821180555555556,0.004998683929443359,8.0,0.2934027777777777,0.08703303337097168,36.22250986099243
36,2,8.0,0.2847222222222222,0.006198883056640625,8.0,0.2916666666666666,0.09237837791442871,36.319324254989624
36,2,8.0,0.2847222222222222,0.0050389766693115234,8.0,0.298611111111111,0.08696103096008301,36.233262062072754
36,2,8.0,0.2977430555555556,0.00498509407043457,8.0,0.32118055555555536,0.08803510665893555,16.18923020362854
36,2,9.0,0.3012152777777778,0.005000114440917969,9.0,0.30468749999999983,0.09103131294250488,11.176559448242188
36,2,8.0,0.3003472222222222,0.0050008296966552734,8.0,0.3220486111111109,0.08703351020812988,15.986530780792236
36,3,12.0,0.4027777777777778,0.004995107650756836,12.0,0.4105902777777773,0.08600091934204102,36.25804162025452
