Students,Sockets,Heuristic_Z,Heuristic_U,Heuristic_Optimization_Time,Gurobi_Z,Gurobi_U,Gurobi_model_build_time,Gurobi_optimization_time
1,1,32.0,1.0,0.002000570297241211,32.0,1.0,0.8677618503570557,0.9441783428192139
1,1,32.0,1.0,0.001001119613647461,32.0,1.0,0.0029997825622558594,0.013000249862670898
1,1,32.0,1.0,0.0,32.0,1.0,0.0030066967010498047,0.014040708541870117
1,1,32.0,1.0,0.0009999275207519531,32.0,1.0,0.0039997100830078125,0.01300048828125
1,1,32.0,1.0,0.0010318756103515625,32.0,1.0,0.00296783447265625,0.012970924377441406
1,1,32.0,1.0,0.0009989738464355469,32.0,1.0,0.0030333995819091797,0.012001514434814453
1,1,32.0,1.0,0.0,32.0,1.0,0.002983570098876953,0.010986804962158203
1,1,32.0,1.0,0.0019991397857666016,32.0,1.0,0.004999637603759766,0.012998342514038086
1,1,32.0,1.0,0.00099945068359375,32.0,1.0,0.003031015396118164,0.013003110885620117
1,1,32.0,1.0,0.0009992122650146484,32.0,1.0,0.0029876232147216797,0.018029212951660156
