N,s,seed,heuristic_min_usage_time,heuristic_optimization_time,gurobi_min_usage_time,gurobi_optimization_time,gurobi_model_build_time
1,1,0,32.0,0.000997781753540039,32.0,0.012979507446289062,0.005495786666870117
1,1,1,32.0,0.0009968280792236328,32.0,0.009043455123901367,0.002991914749145508
1,1,2,32.0,0.0010173320770263672,32.0,0.011024236679077148,0.0029931068420410156
1,1,3,32.0,0.0009958744049072266,32.0,0.00934743881225586,0.002992391586303711
1,1,4,32.0,0.0009989738464355469,32.0,0.008500099182128906,0.002990245819091797
1,1,5,32.0,0.0009968280792236328,32.0,0.009227514266967773,0.0029959678649902344
1,1,6,32.0,0.0009968280792236328,32.0,0.00897979736328125,0.0029916763305664062
1,1,7,32.0,0.0,32.0,0.010480642318725586,0.0029938220977783203
1,1,8,32.0,0.0015082359313964844,32.0,0.010432243347167969,0.0029942989349365234
1,1,9,32.0,0.000997304916381836,32.0,0.010486125946044922,0.001994609832763672
2,1,0,32.0,0.000997781753540039,32.0,0.022022724151611328,0.005498409271240234
2,1,1,32.0,0.0009982585906982422,32.0,0.024930238723754883,0.005983591079711914
2,1,2,32.0,0.001998424530029297,32.0,0.024334430694580078,0.006951808929443359
2,1,3,32.0,0.0009953975677490234,32.0,0.015961170196533203,0.005985260009765625
2,1,4,32.0,0.0005049705505371094,32.0,0.018278121948242188,0.005501747131347656
2,1,5,32.0,0.0010004043579101562,32.0,0.018067359924316406,0.005985260009765625
2,1,6,32.0,0.0009968280792236328,32.0,0.017581939697265625,0.005440235137939453
2,1,7,32.0,0.0009965896606445312,32.0,0.01685643196105957,0.005518436431884766
2,1,8,32.0,0.000997781753540039,32.0,0.015979528427124023,0.005499839782714844
2,1,9,32.0,0.0009984970092773438,32.0,0.019180774688720703,0.0053863525390625
2,2,0,32.0,0.0009965896606445312,32.0,0.013013601303100586,0.004986286163330078
2,2,1,32.0,0.0009963512420654297,32.0,0.03129291534423828,0.0068628787994384766
2,2,2,32.0,0.0025081634521484375,32.0,0.025401830673217773,0.008496761322021484
2,2,3,32.0,0.0010290145874023438,32.0,0.01895880699157715,0.005482912063598633
2,2,4,32.0,0.0010046958923339844,32.0,0.018574237823486328,0.00649714469909668
2,2,5,32.0,0.0009918212890625,32.0,0.016278505325317383,0.0045011043548583984
2,2,6,32.0,0.0010356903076171875,32.0,0.01555633544921875,0.004530191421508789
2,2,7,32.0,0.0010027885437011719,32.0,0.015677452087402344,0.004949808120727539
2,2,8,32.0,0.0009970664978027344,32.0,0.014986753463745117,0.004499673843383789
2,2,9,32.0,0.0009968280792236328,32.0,0.021852970123291016,0.0054912567138671875
3,1,0,31.0,0.0015001296997070312,31.0,0.07708048820495605,0.007128477096557617
3,1,1,32.0,0.000997304916381836,32.0,0.028506755828857422,0.008516311645507812
3,1,2,31.0,0.0019948482513427734,31.0,0.3204021453857422,0.008074045181274414
3,1,3,32.0,0.0011048316955566406,32.0,0.029349565505981445,0.00798344612121582
3,1,4,32.0,0.00102996826171875,32.0,0.029937028884887695,0.007974386215209961
3,1,5,30.0,0.0009996891021728516,30.0,0.0464019775390625,0.0077610015869140625
3,1,6,32.0,0.0015101432800292969,32.0,0.027358531951904297,0.008016109466552734
3,1,7,32.0,0.0009961128234863281,32.0,0.025478363037109375,0.0074350833892822266
3,1,8,32.0,0.0009975433349609375,32.0,0.02515411376953125,0.007018089294433594
3,1,9,30.0,0.0012714862823486328,30.0,1.9835929870605469,0.00698399543762207
3,2,0,32.0,0.001988649368286133,32.0,0.0304872989654541,0.011972904205322266
3,2,1,32.0,0.0010004043579101562,32.0,0.02700519561767578,0.009209632873535156
3,2,2,32.0,0.000997304916381836,32.0,0.026536226272583008,0.00849008560180664
3,2,3,32.0,0.001994609832763672,32.0,0.025222301483154297,0.007726907730102539
3,2,4,32.0,0.0010209083557128906,32.0,0.024975299835205078,0.008512735366821289
3,2,5,32.0,0.0009961128234863281,32.0,0.02607250213623047,0.008257150650024414
3,2,6,32.0,0.0011341571807861328,32.0,0.02851390838623047,0.007512807846069336
3,2,7,32.0,0.0014185905456542969,32.0,0.024569034576416016,0.00860905647277832
3,2,8,32.0,0.0015027523040771484,32.0,0.024479389190673828,0.007497549057006836
3,2,9,32.0,0.0009975433349609375,32.0,0.031141042709350586,0.00861215591430664
3,3,0,32.0,0.000997304916381836,32.0,0.023792743682861328,0.006770133972167969
3,3,1,32.0,0.0009965896606445312,32.0,0.02359914779663086,0.008114337921142578
3,3,2,32.0,0.0010290145874023438,32.0,0.023431777954101562,0.008095264434814453
3,3,3,32.0,0.0010318756103515625,32.0,0.021050691604614258,0.007462978363037109
3,3,4,32.0,0.001033782958984375,32.0,0.02253127098083496,0.007579326629638672
3,3,5,32.0,0.0009984970092773438,32.0,0.02140951156616211,0.0069544315338134766
3,3,6,32.0,0.0020296573638916016,32.0,0.0224759578704834,0.007516145706176758
3,3,7,32.0,0.0010297298431396484,32.0,0.023059606552124023,0.007531404495239258
3,3,8,32.0,0.00109100341796875,32.0,0.024135589599609375,0.0069789886474609375
3,3,9,32.0,0.000997781753540039,32.0,0.02447795867919922,0.0075151920318603516
4,1,0,26.0,0.0010268688201904297,26.0,1.0371179580688477,0.0108642578125
4,1,1,26.0,0.0019941329956054688,26.0,0.06514787673950195,0.010493755340576172
4,1,2,28.0,0.0009658336639404297,28.0,1.154284954071045,0.010949850082397461
4,1,3,25.0,0.0019943714141845703,25.0,2.1071791648864746,0.009585142135620117
4,1,4,28.0,0.0009968280792236328,28.0,1.6380341053009033,0.009019136428833008
4,1,5,25.0,0.0010008811950683594,25.0,0.04893374443054199,0.010975837707519531
4,1,6,28.0,0.0014796257019042969,28.0,0.30164027214050293,0.011812448501586914
4,1,7,29.0,0.0023598670959472656,29.0,0.06731915473937988,0.010150432586669922
4,1,8,22.0,0.0009958744049072266,22.0,0.21923327445983887,0.010388612747192383
4,1,9,27.0,0.0010323524475097656,27.0,0.05404162406921387,0.010540962219238281
4,2,0,32.0,0.0015058517456054688,32.0,0.032648563385009766,0.009979724884033203
4,2,1,32.0,0.002993345260620117,32.0,0.03343367576599121,0.01050877571105957
4,2,2,32.0,0.0015015602111816406,32.0,0.02746891975402832,0.00948953628540039
4,2,3,32.0,0.0009968280792236328,32.0,0.02897047996520996,0.008997678756713867
4,2,4,32.0,0.0015022754669189453,32.0,0.031043052673339844,0.013536930084228516
4,2,5,32.0,0.000997304916381836,32.0,0.027428150177001953,0.009029388427734375
4,2,6,32.0,0.0022344589233398438,32.0,0.027864694595336914,0.00929880142211914
4,2,7,32.0,0.0010311603546142578,32.0,0.02681136131286621,0.008887290954589844
4,2,8,32.0,0.0016133785247802734,32.0,0.030063867568969727,0.009949207305908203
4,2,9,32.0,0.002051830291748047,32.0,0.030292510986328125,0.009474754333496094
4,3,0,32.0,0.0010013580322265625,32.0,0.032976627349853516,0.010012149810791016
4,3,1,32.0,0.0019919872283935547,32.0,0.025717496871948242,0.008214712142944336
4,3,2,32.0,0.00099945068359375,32.0,0.027462244033813477,0.009488105773925781
4,3,3,32.0,0.0,32.0,0.03185725212097168,0.010885477066040039
4,3,4,32.0,0.0009968280792236328,32.0,0.029551267623901367,0.009969711303710938
4,3,5,32.0,0.0020475387573242188,32.0,0.029009103775024414,0.008913755416870117
4,3,6,32.0,0.0009999275207519531,32.0,0.02270960807800293,0.007876157760620117
4,3,7,32.0,0.0009624958038330078,32.0,0.02419304847717285,0.00875544548034668
4,3,8,32.0,0.000997781753540039,32.0,0.030003786087036133,0.009997129440307617
4,3,9,32.0,0.001027822494506836,32.0,0.02900099754333496,0.009029150009155273
4,4,0,32.0,0.0015025138854980469,32.0,0.02599954605102539,0.00849294662475586
4,4,1,32.0,0.0009970664978027344,32.0,0.030904054641723633,0.010508298873901367
4,4,2,32.0,0.000997304916381836,32.0,0.024969816207885742,0.00848698616027832
4,4,3,32.0,0.0009965896606445312,32.0,0.024784326553344727,0.009993791580200195
4,4,4,32.0,0.0009970664978027344,32.0,0.027648448944091797,0.009483814239501953
4,4,5,32.0,0.0009996891021728516,32.0,0.02723217010498047,0.009522676467895508
4,4,6,32.0,0.001997232437133789,32.0,0.02887415885925293,0.009009361267089844
4,4,7,32.0,0.001508951187133789,32.0,0.02723860740661621,0.010010957717895508
4,4,8,32.0,0.0009970664978027344,32.0,0.029292583465576172,0.010486125946044922
4,4,9,32.0,0.001996755599975586,32.0,0.02802276611328125,0.00897526741027832
5,1,0,23.0,0.0009992122650146484,23.0,0.5876901149749756,0.012477397918701172
5,1,1,21.0,0.0009996891021728516,21.0,0.0639643669128418,0.011223793029785156
5,1,2,22.0,0.0009984970092773438,22.0,0.04188656806945801,0.011855840682983398
5,1,3,22.0,0.0019941329956054688,22.0,0.5891563892364502,0.012527704238891602
5,1,4,22.0,0.001995563507080078,22.0,0.1152489185333252,0.012989044189453125
5,1,5,21.0,0.001993894577026367,21.0,0.06909942626953125,0.010975837707519531
5,1,6,20.0,0.002026081085205078,20.0,0.639411449432373,0.010976076126098633
5,1,7,20.0,0.0019621849060058594,20.0,1.5342435836791992,0.011762142181396484
5,1,8,15.0,0.0009975433349609375,15.0,2.4256815910339355,0.014708995819091797
5,1,9,24.0,0.0013501644134521484,24.0,0.07749128341674805,0.011482715606689453
5,2,0,32.0,0.0015392303466796875,32.0,0.03473091125488281,0.01279449462890625
