Students,Sockets,Heuristic_Z,Heuristic_U,Heuristic_Optimization_Time,Gurobi_Z,Gurobi_U,Gurobi_model_build_time,Gurobi_optimization_time
3,1,31.0,0.9895833333333334,0.0009968280792236328,31.0,0.9895833333333334,0.008001089096069336,1.3617808818817139
3,1,32.0,1.0,0.0009927749633789062,32.0,1.0,0.007998466491699219,0.03102421760559082
3,1,31.0,0.9895833333333334,0.0010006427764892578,31.0,0.9895833333333334,0.008000373840332031,0.323042631149292
3,1,32.0,1.0,0.0009992122650146484,32.0,1.0,0.007999181747436523,0.026001453399658203
3,1,32.0,1.0,0.0009999275207519531,32.0,1.0,0.008000612258911133,0.025001049041748047
3,1,30.0,0.9479166666666666,0.0010001659393310547,30.0,0.9479166666666667,0.007998943328857422,3.028250217437744
3,1,32.0,1.0,0.001001596450805664,32.0,1.0,0.007999658584594727,0.025001049041748047
3,1,32.0,1.0,0.0010006427764892578,32.0,1.0,0.006999969482421875,0.041002511978149414
3,1,32.0,1.0,0.0009999275207519531,32.0,1.0,0.008001565933227539,0.026000261306762695
3,1,30.0,0.96875,0.0010013580322265625,30.0,0.9687500000000001,0.00899958610534668,3.028012275695801
3,2,32.0,1.0,0.001001119613647461,32.0,1.0,0.008000612258911133,0.022001028060913086
3,2,32.0,1.0,0.0010001659393310547,32.0,1.0,0.007998943328857422,0.024005889892578125
3,2,32.0,1.0,0.00099945068359375,32.0,1.0,0.007998943328857422,0.025004148483276367
3,2,32.0,1.0,0.0009992122650146484,32.0,1.0,0.008997201919555664,0.021998882293701172
3,2,32.0,1.0,0.0010004043579101562,32.0,1.0,0.008000612258911133,0.024000883102416992
3,2,32.0,1.0,0.0010051727294921875,32.0,1.0,0.008002042770385742,0.024001359939575195
3,2,32.0,1.0,0.0010004043579101562,32.0,1.0,0.007999658584594727,0.025002241134643555
3,2,32.0,1.0,0.00099945068359375,32.0,1.0,0.008000373840332031,0.023004770278930664
3,2,32.0,1.0,0.0010001659393310547,32.0,1.0,0.009000062942504883,0.023001432418823242
3,2,32.0,1.0,0.0010018348693847656,32.0,1.0,0.008028745651245117,0.024000167846679688
